model_name,prompt_idx,map_name
llama3.3,0,map_3x3_4581d67942
llama3.3,0,map_3x3_36a9049c34
llama3.3,0,map_3x3_d5cc755ee1
llama3.3,1,map_3x3_4581d67942
llama3.3,1,map_3x3_36a9049c34
llama3.3,1,map_3x3_d5cc755ee1
llama3.3,2,map_3x3_4581d67942
llama3.3,2,map_3x3_36a9049c34
llama3.3,2,map_3x3_d5cc755ee1
llama3.3,3,map_3x3_4581d67942
llama3.3,3,map_3x3_36a9049c34
llama3.3,3,map_3x3_d5cc755ee1
llama3.3,4,map_3x3_4581d67942
llama3.3,4,map_3x3_36a9049c34
llama3.3,4,map_3x3_d5cc755ee1
llama3.3,5,map_3x3_4581d67942
llama3.3,5,map_3x3_36a9049c34
llama3.3,5,map_3x3_d5cc755ee1
llama3.3,6,map_3x3_4581d67942
llama3.3,6,map_3x3_36a9049c34
llama3.3,6,map_3x3_d5cc755ee1
llama3.3,7,map_3x3_4581d67942
llama3.3,7,map_3x3_36a9049c34
llama3.3,7,map_3x3_d5cc755ee1
llama3.3,8,map_3x3_4581d67942
llama3.3,8,map_3x3_36a9049c34
llama3.3,8,map_3x3_d5cc755ee1
llama3.3,9,map_3x3_4581d67942
llama3.3,9,map_3x3_36a9049c34
llama3.3,9,map_3x3_d5cc755ee1
llama3.3,10,map_3x3_4581d67942
llama3.3,10,map_3x3_36a9049c34
llama3.3,10,map_3x3_d5cc755ee1
llama3.3,11,map_3x3_4581d67942
llama3.3,11,map_3x3_36a9049c34
llama3.3,11,map_3x3_d5cc755ee1
deepseek-r1:14b,0,map_3x3_4581d67942
deepseek-r1:14b,0,map_3x3_36a9049c34
deepseek-r1:14b,0,map_3x3_d5cc755ee1
deepseek-r1:14b,1,map_3x3_4581d67942
deepseek-r1:14b,1,map_3x3_36a9049c34
deepseek-r1:14b,1,map_3x3_d5cc755ee1
deepseek-r1:14b,2,map_3x3_4581d67942
deepseek-r1:14b,2,map_3x3_36a9049c34
deepseek-r1:14b,2,map_3x3_d5cc755ee1
deepseek-r1:14b,3,map_3x3_4581d67942
deepseek-r1:14b,3,map_3x3_36a9049c34
deepseek-r1:14b,3,map_3x3_d5cc755ee1
deepseek-r1:14b,4,map_3x3_4581d67942
deepseek-r1:14b,4,map_3x3_36a9049c34
deepseek-r1:14b,4,map_3x3_d5cc755ee1
deepseek-r1:14b,5,map_3x3_4581d67942
deepseek-r1:14b,5,map_3x3_36a9049c34
deepseek-r1:14b,5,map_3x3_d5cc755ee1
deepseek-r1:14b,6,map_3x3_4581d67942
deepseek-r1:14b,6,map_3x3_36a9049c34
deepseek-r1:14b,6,map_3x3_d5cc755ee1
deepseek-r1:14b,7,map_3x3_4581d67942
deepseek-r1:14b,7,map_3x3_36a9049c34
deepseek-r1:14b,7,map_3x3_d5cc755ee1
deepseek-r1:14b,8,map_3x3_4581d67942
deepseek-r1:14b,8,map_3x3_36a9049c34
deepseek-r1:14b,8,map_3x3_d5cc755ee1
deepseek-r1:14b,9,map_3x3_4581d67942
deepseek-r1:14b,9,map_3x3_36a9049c34
deepseek-r1:14b,9,map_3x3_d5cc755ee1
deepseek-r1:14b,10,map_3x3_4581d67942
deepseek-r1:14b,10,map_3x3_36a9049c34
deepseek-r1:14b,10,map_3x3_d5cc755ee1
deepseek-r1:14b,11,map_3x3_4581d67942
deepseek-r1:14b,11,map_3x3_36a9049c34
deepseek-r1:14b,11,map_3x3_d5cc755ee1
