instruction,necessary_context,background_context,representation_key,output,composite_z
gpt1,domain2,assumption,json,out1,
gpt1,domain2,assumption,json,out2,
gpt1,domain2,assumption,json,out4,
gpt1,domain2,assumption,text,out1,
gpt1,domain2,assumption,text,out2,
gpt1,domain2,assumption,text,out4,
gpt1,domain2,domain2,json,out1,
gpt1,domain2,domain2,json,out2,
gpt1,domain2,domain2,json,out4,
gpt1,domain2,domain2,text,out1,
gpt1,domain2,domain2,text,out2,
gpt1,domain2,domain2,text,out4,
gpt1,domain2,domain3,json,out1,
gpt1,domain2,domain3,json,out2,
gpt1,domain2,domain3,json,out4,
gpt1,domain2,domain3,text,out1,
gpt1,domain2,domain3,text,out2,
gpt1,domain2,domain3,text,out4,
gpt1,domain2,performance3,json,out1,
gpt1,domain2,performance3,json,out2,
gpt1,domain2,performance3,json,out4,
gpt1,domain2,performance3,text,out1,
gpt1,domain2,performance3,text,out2,
gpt1,domain2,performance3,text,out4,
gpt1,domain2,test1,json,out1,
gpt1,domain2,test1,json,out2,
gpt1,domain2,test1,json,out4,0.08137965742436651
gpt1,domain2,test1,text,out1,
gpt1,domain2,test1,text,out2,
gpt1,domain2,test1,text,out4,-0.009219471467616107
gpt1,domain2,test3,json,out1,
gpt1,domain2,test3,json,out2,
gpt1,domain2,test3,json,out4,
gpt1,domain2,test3,text,out1,
gpt1,domain2,test3,text,out2,
gpt1,domain2,test3,text,out4,
gpt1,necessary-domain1,assumption,json,out1,
gpt1,necessary-domain1,assumption,json,out2,
gpt1,necessary-domain1,assumption,json,out4,
gpt1,necessary-domain1,assumption,text,out1,
gpt1,necessary-domain1,assumption,text,out2,
gpt1,necessary-domain1,assumption,text,out4,
gpt1,necessary-domain1,domain2,json,out1,
gpt1,necessary-domain1,domain2,json,out2,
gpt1,necessary-domain1,domain2,json,out4,
gpt1,necessary-domain1,domain2,text,out1,
gpt1,necessary-domain1,domain2,text,out2,
gpt1,necessary-domain1,domain2,text,out4,
gpt1,necessary-domain1,domain3,json,out1,
gpt1,necessary-domain1,domain3,json,out2,
gpt1,necessary-domain1,domain3,json,out4,
gpt1,necessary-domain1,domain3,text,out1,
gpt1,necessary-domain1,domain3,text,out2,
gpt1,necessary-domain1,domain3,text,out4,
gpt1,necessary-domain1,performance3,json,out1,
gpt1,necessary-domain1,performance3,json,out2,
gpt1,necessary-domain1,performance3,json,out4,
gpt1,necessary-domain1,performance3,text,out1,
gpt1,necessary-domain1,performance3,text,out2,
gpt1,necessary-domain1,performance3,text,out4,
gpt1,necessary-domain1,test1,json,out1,
gpt1,necessary-domain1,test1,json,out2,
gpt1,necessary-domain1,test1,json,out4,
gpt1,necessary-domain1,test1,text,out1,
gpt1,necessary-domain1,test1,text,out2,
gpt1,necessary-domain1,test1,text,out4,
gpt1,necessary-domain1,test3,json,out1,
gpt1,necessary-domain1,test3,json,out2,
gpt1,necessary-domain1,test3,json,out4,
gpt1,necessary-domain1,test3,text,out1,
gpt1,necessary-domain1,test3,text,out2,
gpt1,necessary-domain1,test3,text,out4,
gpt1,necessary-domain2,assumption,json,out1,
gpt1,necessary-domain2,assumption,json,out2,
gpt1,necessary-domain2,assumption,json,out4,
gpt1,necessary-domain2,assumption,text,out1,
gpt1,necessary-domain2,assumption,text,out2,
gpt1,necessary-domain2,assumption,text,out4,
gpt1,necessary-domain2,domain2,json,out1,
gpt1,necessary-domain2,domain2,json,out2,
gpt1,necessary-domain2,domain2,json,out4,
gpt1,necessary-domain2,domain2,text,out1,
gpt1,necessary-domain2,domain2,text,out2,
gpt1,necessary-domain2,domain2,text,out4,
gpt1,necessary-domain2,domain3,json,out1,
gpt1,necessary-domain2,domain3,json,out2,
gpt1,necessary-domain2,domain3,json,out4,
gpt1,necessary-domain2,domain3,text,out1,
