,coef,std_err,z,pval
C(model)[T.deepseek-r1:32b],0.15417377537153112,0.10762366254625987,1.4325267485230084,0.1519931286085231
C(model)[T.deepseek-r1:70b],-0.009469436210948794,0.10762366254625991,-0.08798656342770851,0.9298873555526931
C(model)[T.deepseek-r1:7b],0.05303298355869768,0.10736761958339072,0.49393833787576713,0.6213497280066445
C(model)[T.deepseek-r1:8b],-0.06711638120868481,0.10736761958339074,-0.6251082166961573,0.5319000355077399
C(model)[T.llama3.1:70b],-0.15088431488111886,0.10736761958339074,-1.405305579713718,0.15993042987572292
C(model)[T.llama3.1:8b],-0.2531659726144727,0.10736761958339074,-2.3579359735906475,0.018376862216811972
C(model)[T.llama3.3:70b],-0.5973514411429373,0.10736761958339074,-5.563608874451983,2.642518657541177e-08
C(prompt_id)[T.10],0.08405480796741632,0.13196804296289874,0.6369330489431244,0.5241684545071195
C(prompt_id)[T.11],0.17977209677869554,0.131497941438281,1.3671095897959147,0.17159095786334622
C(prompt_id)[T.1],0.037641408503748454,0.13196804296289874,0.28523123976560666,0.7754669881208032
C(prompt_id)[T.2],0.17126041719459606,0.131497941438281,1.3023809751042963,0.1927861828803462
C(prompt_id)[T.3],0.2555363587281994,0.131497941438281,1.9432726925853532,0.051983219087022275
C(prompt_id)[T.4],0.11809571880019619,0.131497941438281,0.8980803616277507,0.36914270796018656
C(prompt_id)[T.5],0.07727380338240802,0.131497941438281,0.58764268502771,0.5567721537664885
C(prompt_id)[T.6],-0.06836309667104415,0.131497941438281,-0.5198795960097261,0.6031474974991298
C(prompt_id)[T.7],0.042039842555170626,0.131497941438281,0.31969962491695864,0.7491960441452153
C(prompt_id)[T.8],0.10720648410959698,0.131497941438281,0.8152711969252743,0.4149170920420311
C(prompt_id)[T.9],0.16278156170351482,0.131497941438281,1.2379019771949578,0.21575240912819127
Intercept,0.8582377608796782,0.20824641522782658,4.1212606706374535,3.768047820270924e-05
map_id Var,,,,0.11179895929099391
map_size,-0.1496086944428856,0.028155759572819183,-5.313608892559015,1.074751621848326e-07
