,map_id,model,prompt_id,avg_model_score,max_model_score,std_model_score,n_model_runs,map_size,abstractability,instruction,necessary_context,background_context,representation_key,output,avg_gain,avg_rel_gain,avg_gain_diff,n_plan_runs
0,map_3x3_36a9049c34,deepseek-r1:14b,0,0.3454040404040404,0.5,0.07501587723501306,20,3,partial abstraction,role1,necessary-domain2,domain2,text,out2,-0.3748639319638411,-41.78157434955612,0.4825699157317479,20
1,map_3x3_36a9049c34,deepseek-r1:14b,1,0.35543290043290043,0.5,0.07813525875355087,20,3,partial abstraction,role1,necessary-domain2,domain2,json,out2,-0.37094027721881867,-34.26754512139905,0.47794151646892236,20
2,map_3x3_36a9049c34,deepseek-r1:14b,2,0.4119191919191919,1.0,0.16214943916335098,20,3,partial abstraction,role1,necessary-domain1,test3,text,out1,0.11241820087035499,0.8380045125211323,-0.0023152707517146904,20
3,map_3x3_36a9049c34,deepseek-r1:14b,3,0.41370298608201833,1.0,0.15394332045470324,20,3,partial abstraction,role1,necessary-domain1,test3,json,out1,0.10916274703542392,0.9873718366065249,-0.001557839572429634,20
4,map_3x3_36a9049c34,deepseek-r1:14b,4,0.3910695187165775,0.6666666666666666,0.0901702638190325,20,3,partial abstraction,relation1,necessary-domain2,test3,text,out2,-0.37199773361285526,-77.12841413338282,0.4780511500239372,20
5,map_3x3_36a9049c34,deepseek-r1:14b,5,0.42091022866022865,1.0,0.15258527797898372,20,3,partial abstraction,relation1,necessary-domain2,test3,json,out2,0.10624041233460109,0.9504417087165397,0.0011154456436634126,20
6,map_3x3_36a9049c34,deepseek-r1:14b,6,0.3635242535242535,0.5,0.09035977782910001,20,3,partial abstraction,relation2,necessary-domain2,performance3,text,out2,-0.37214726668596265,-36.55317838597978,0.47830909528334936,20
7,map_3x3_36a9049c34,deepseek-r1:14b,7,0.33434421787362967,0.46153846153846156,0.06429259841994357,20,3,partial abstraction,relation2,necessary-domain2,performance3,json,out2,-0.37217549638946845,-inf,0.47862838801741603,20
8,map_3x3_36a9049c34,deepseek-r1:14b,8,0.41409380652027716,1.0,0.16118787129436085,20,3,partial abstraction,role3,necessary-domain1,domain3,text,out2,0.10385331854224207,1.0080108977805167,0.006223419864972418,20
9,map_3x3_36a9049c34,deepseek-r1:14b,9,0.40359758297258297,0.6666666666666666,0.09013269261720432,20,3,partial abstraction,role3,necessary-domain1,domain3,json,out2,0.10868262368440632,0.959349148576503,2.028755346934752e-05,20
10,map_3x3_36a9049c34,deepseek-r1:14b,10,0.36502164502164497,0.5,0.06912198354849056,60,3,partial abstraction,gpt1,domain2,test1,text,out4,0.09541247544686002,0.8710455287898158,0.01823904258012773,20
11,map_3x3_36a9049c34,deepseek-r1:14b,11,0.4266666666666667,0.5,0.057506243008338544,60,3,partial abstraction,gpt1,domain2,test1,json,out4,0.09177645326654119,0.9204658116456859,0.01814325668414433,20
12,map_3x3_36a9049c34,deepseek-r1:32b,0,0.35223376623376623,0.5,0.05758738218577591,20,3,partial abstraction,role1,necessary-domain2,domain2,text,out2,-0.37296958862741786,-41.58217123920072,0.4783039936423302,20
13,map_3x3_36a9049c34,deepseek-r1:32b,1,0.36718614718614717,0.42857142857142855,0.018071686328339505,20,3,partial abstraction,role1,necessary-domain2,domain2,json,out2,-0.37745611523588496,-3.2481143672165786,0.4821020959417025,20
14,map_3x3_36a9049c34,deepseek-r1:32b,2,0.4158626096126096,0.5714285714285714,0.06771185908878369,20,3,partial abstraction,role1,necessary-domain1,test3,text,out1,0.09869771484533947,1.1727721300210812,0.01461487620075543,20
15,map_3x3_36a9049c34,deepseek-r1:32b,3,0.42666666666666664,1.0,0.14595739767185795,20,3,partial abstraction,role1,necessary-domain1,test3,json,out1,0.1032292548219363,0.9884359676020212,0.002473581125338875,20
16,map_3x3_36a9049c34,deepseek-r1:32b,4,0.3855176767676768,0.5,0.06027968311536716,20,3,partial abstraction,relation1,necessary-domain2,test3,text,out2,0.0891796000202497,1.796087256340649,0.014086480110883717,20
17,map_3x3_36a9049c34,deepseek-r1:32b,5,0.39806138306138306,0.5,0.074102595919612,20,3,partial abstraction,relation1,necessary-domain2,test3,json,out2,0.09831112891435626,1.041664381551464,0.012614981214205429,20
18,map_3x3_36a9049c34,deepseek-r1:32b,6,0.45323565323565324,0.6666666666666666,0.08316746448085782,20,3,partial abstraction,relation2,necessary-domain2,performance3,text,out2,0.10723621001839638,0.931319224657648,0.004274503529071808,20
19,map_3x3_36a9049c34,deepseek-r1:32b,7,0.3992735042735043,0.5,0.06467544957231232,20,3,partial abstraction,relation2,necessary-domain2,performance3,json,out2,0.08809119985500971,1.0316850901320405,0.011992576430241274,20
20,map_3x3_36a9049c34,deepseek-r1:32b,8,0.4064889011697522,1.0,0.1596365409389532,20,3,partial abstraction,role3,necessary-domain1,domain3,text,out2,0.10995936529835067,1.0973715721186066,0.0030061548848946905,20
21,map_3x3_36a9049c34,deepseek-r1:32b,9,0.3944444444444445,0.5,0.0631403068380302,20,3,partial abstraction,role3,necessary-domain1,domain3,json,out2,0.10015441702802977,inf,0.012475132326285035,20
22,map_3x3_36a9049c34,deepseek-r1:32b,10,0.4120328282828283,0.6666666666666666,0.07793029158721781,60,3,partial abstraction,gpt1,domain2,test1,text,out4,-0.42887615311713445,-inf,0.4968102949857712,56
23,map_3x3_36a9049c34,deepseek-r1:32b,11,0.41747474747474744,0.5,0.06657017810857048,60,3,partial abstraction,gpt1,domain2,test1,json,out4,-0.3741732544898987,-89.3895785632375,0.47832812781135237,20
24,map_3x3_36a9049c34,deepseek-r1:70b,0,0.40846320346320353,0.5,0.055854571153199514,20,3,partial abstraction,role1,necessary-domain2,domain2,text,out2,0.09822305096189181,1.2126546415090218,0.012905788888533918,20
25,map_3x3_36a9049c34,deepseek-r1:70b,1,0.37636363636363634,0.4,0.017794926724712473,20,3,partial abstraction,role1,necessary-domain2,domain2,json,out2,-0.36999456711610157,-inf,0.4761563672622045,20
26,map_3x3_36a9049c34,deepseek-r1:70b,2,0.4007131465026202,0.6666666666666666,0.09230656183517723,20,3,partial abstraction,role1,necessary-domain1,test3,text,out1,-0.4285353132904995,137.88108436671692,0.4967529655283406,56
27,map_3x3_36a9049c34,deepseek-r1:70b,3,0.3933838383838384,0.5,0.056246226314684955,20,3,partial abstraction,role1,necessary-domain1,test3,json,out1,0.05717625271706355,0.8967551511602811,0.008285472605909608,56
28,map_3x3_36a9049c34,deepseek-r1:70b,4,0.39112276612276614,0.5,0.07663414711593929,20,3,partial abstraction,relation1,necessary-domain2,test3,text,out2,0.058645916205076955,0.9158159731415726,0.007696606293320647,56
29,map_3x3_36a9049c34,deepseek-r1:70b,5,0.41994299607202834,0.5714285714285714,0.09137155458377245,20,3,partial abstraction,relation1,necessary-domain2,test3,json,out2,-0.4305055925959632,-inf,0.49617457667986553,56
30,map_3x3_36a9049c34,deepseek-r1:70b,6,0.39986291486291486,0.5,0.07360938522195998,20,3,partial abstraction,relation2,necessary-domain2,performance3,text,out2,0.09390963423252106,1.0586937486893915,0.012933852871259047,20
31,map_3x3_36a9049c34,deepseek-r1:70b,7,0.36322510822510823,0.5,0.04595606432735717,20,3,partial abstraction,relation2,necessary-domain2,performance3,json,out2,-0.3709659162958463,-69.39662445019663,0.48206535217165947,20
32,map_3x3_36a9049c34,deepseek-r1:70b,8,0.3709178321678322,0.5,0.0647179667931047,20,3,partial abstraction,role3,necessary-domain1,domain3,text,out2,0.05685950384608337,inf,0.010303413687007764,56
33,map_3x3_36a9049c34,deepseek-r1:70b,9,0.3581818181818182,0.4,0.03781781376339119,20,3,partial abstraction,role3,necessary-domain1,domain3,json,out2,-0.37030084908008576,65.6430563027158,0.4815649970869223,20
34,map_3x3_36a9049c34,deepseek-r1:70b,10,0.3987373737373738,0.5,0.05382147603633434,60,3,partial abstraction,gpt1,domain2,test1,text,out4,0.056700997331312744,1.139059254001171,0.011375933353390013,56
35,map_3x3_36a9049c34,deepseek-r1:70b,11,0.3404049561986226,0.5,0.060952355568215925,60,3,partial abstraction,gpt1,domain2,test1,json,out4,-0.42998435727542356,-inf,0.4953699568836462,56
36,map_3x3_36a9049c34,deepseek-r1:7b,0,0.3567273119037825,0.5,0.08013759871173104,20,3,partial abstraction,role1,necessary-domain2,domain2,text,out2,0.08850395728151006,0.7766433036677889,0.021023623953262953,20
37,map_3x3_36a9049c34,deepseek-r1:7b,1,0.388992118992119,0.5,0.055377596887339474,20,3,partial abstraction,role1,necessary-domain2,domain2,json,out2,0.08372758008042974,0.8374516120656041,0.018684694786866518,20
38,map_3x3_36a9049c34,deepseek-r1:7b,2,0.40413269526172757,0.5714285714285714,0.08042548751397467,20,3,partial abstraction,role1,necessary-domain1,test3,text,out1,0.09239066180586815,0.7803515018581474,0.014935117751359953,20
39,map_3x3_36a9049c34,deepseek-r1:7b,3,0.372627886002886,0.5,0.058282767858545304,20,3,partial abstraction,role1,necessary-domain1,test3,json,out1,-0.37209819255272547,-84.85851458431604,0.47721911550561585,20
40,map_3x3_36a9049c34,deepseek-r1:7b,4,0.39554445554445555,0.5,0.06117568169810535,20,3,partial abstraction,relation1,necessary-domain2,test3,text,out2,0.11575112568338715,inf,-0.005312675714492796,20
41,map_3x3_36a9049c34,deepseek-r1:7b,5,0.3898984348984349,0.5,0.06616026092105964,20,3,partial abstraction,relation1,necessary-domain2,test3,json,out2,0.11319939729571345,0.9209034281709417,-0.0029985059301058476,20
