,model,prompt_id,mean_model_score,mean_gain_diff,composite_z
0,deepseek-r1:14b,5,0.23608162945139796,0.016232701171376783,3.299528357429184
1,deepseek-r1:32b,2,0.23050312386130667,0.009122034873113664,3.0276850166375775
2,deepseek-r1:32b,4,0.2255262640497985,0.010006992898940565,2.6383221748652135
3,deepseek-r1:32b,11,0.2373071303979654,0.05815951426287807,2.539314955949603
4,deepseek-r1:8b,1,0.2232436333391233,0.009420347890749275,2.4799027403038982
5,deepseek-r1:70b,4,0.21716214876729456,0.0013262665937482183,2.190501969154941
6,deepseek-r1:7b,10,0.23343741207441482,0.06500690930578495,2.111454393909451
7,deepseek-r1:32b,5,0.21994571076373343,0.01896531710106504,2.0399150126941503
8,deepseek-r1:7b,4,0.2310120462017245,0.06576912732103041,1.9149840895269414
9,deepseek-r1:32b,7,0.21656530229139984,0.017306690873203686,1.8213517252693474
10,deepseek-r1:70b,10,0.21741769514836473,0.02152066051891003,1.7993607734799622
11,llama3.1:8b,2,0.23753911200431085,0.09619829170689695,1.7839405403101434
12,deepseek-r1:70b,3,0.2226533816594428,0.043235298007401446,1.748970104441619
13,deepseek-r1:7b,11,0.22854014429386338,0.06518520862320389,1.742385351797965
14,deepseek-r1:32b,10,0.24644662567043737,0.13470897380234895,1.66637170200765
15,llama3.1:8b,3,0.2396930089304152,0.112445420905721,1.6146405281337928
16,deepseek-r1:7b,3,0.2250965182869226,0.06200868248476973,1.5499378559579187
17,llama3.1:70b,3,0.22787560439898044,0.07393325570484909,1.515095647702636
18,deepseek-r1:32b,6,0.2250691530423063,0.06644238240004728,1.457833596782197
19,llama3.1:70b,2,0.22482729773174612,0.06648170588768663,1.4389869241888271
20,deepseek-r1:32b,3,0.22346398019818026,0.06483170037922602,1.3707692481743572
21,deepseek-r1:7b,9,0.22532137166992927,0.07273916849091883,1.3487475780317417
22,deepseek-r1:7b,8,0.2330354326571086,0.10138131318569209,1.3425806970325358
23,deepseek-r1:8b,7,0.20756539743171168,0.010640239406311362,1.2851710325508265
24,deepseek-r1:7b,0,0.2194104092553077,0.06119029295335094,1.1422492088407705
25,deepseek-r1:14b,3,0.21735213454426228,0.05423975519718672,1.1298422116121114
26,deepseek-r1:7b,1,0.21911502961413545,0.06509065347656316,1.040978774606978
27,deepseek-r1:14b,11,0.23294241636828186,0.11642797064242107,1.0299953094849519
28,deepseek-r1:32b,8,0.2124376405771765,0.042470497267754384,1.0021796348439285
29,deepseek-r1:14b,2,0.21385304535723224,0.04901479263802763,0.9748659994257248
30,llama3.1:70b,11,0.21684466765207508,0.06184775831287223,0.937431542914313
