group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0014,0.9995,-0.0065,0.0093,False
deepseek-r1:14b,deepseek-r1:70b,-0.0216,0.0,-0.0293,-0.0139,True
deepseek-r1:14b,deepseek-r1:7b,-0.0064,0.2463,-0.0146,0.0017,False
deepseek-r1:14b,deepseek-r1:8b,-0.006,0.331,-0.0142,0.0021,False
deepseek-r1:14b,llama3.1:70b,-0.0177,0.0,-0.0256,-0.0097,True
deepseek-r1:14b,llama3.1:8b,-0.0296,0.0,-0.0378,-0.0214,True
deepseek-r1:14b,llama3.3:70b,-0.047,0.0,-0.0549,-0.039,True
deepseek-r1:32b,deepseek-r1:70b,-0.023,0.0,-0.0306,-0.0153,True
deepseek-r1:32b,deepseek-r1:7b,-0.0078,0.0709,-0.016,0.0003,False
deepseek-r1:32b,deepseek-r1:8b,-0.0074,0.1072,-0.0156,0.0007,False
deepseek-r1:32b,llama3.1:70b,-0.0191,0.0,-0.027,-0.0111,True
deepseek-r1:32b,llama3.1:8b,-0.031,0.0,-0.0391,-0.0228,True
deepseek-r1:32b,llama3.3:70b,-0.0484,0.0,-0.0563,-0.0404,True
deepseek-r1:70b,deepseek-r1:7b,0.0152,0.0,0.0072,0.0231,True
deepseek-r1:70b,deepseek-r1:8b,0.0156,0.0,0.0076,0.0235,True
deepseek-r1:70b,llama3.1:70b,0.0039,0.7811,-0.0038,0.0116,False
deepseek-r1:70b,llama3.1:8b,-0.008,0.0448,-0.0159,-0.0001,True
deepseek-r1:70b,llama3.3:70b,-0.0254,0.0,-0.0331,-0.0177,True
deepseek-r1:7b,deepseek-r1:8b,0.0004,1.0,-0.008,0.0088,False
deepseek-r1:7b,llama3.1:70b,-0.0112,0.0008,-0.0194,-0.0031,True
deepseek-r1:7b,llama3.1:8b,-0.0232,0.0,-0.0316,-0.0148,True
deepseek-r1:7b,llama3.3:70b,-0.0405,0.0,-0.0487,-0.0324,True
deepseek-r1:8b,llama3.1:70b,-0.0116,0.0004,-0.0198,-0.0035,True
deepseek-r1:8b,llama3.1:8b,-0.0236,0.0,-0.032,-0.0152,True
deepseek-r1:8b,llama3.3:70b,-0.041,0.0,-0.0491,-0.0328,True
llama3.1:70b,llama3.1:8b,-0.0119,0.0003,-0.0201,-0.0038,True
llama3.1:70b,llama3.3:70b,-0.0293,0.0,-0.0373,-0.0214,True
llama3.1:8b,llama3.3:70b,-0.0174,0.0,-0.0255,-0.0092,True
