group1,group2,meandiff,p-adj,lower,upper,reject
gpt1,relation1,0.0015,0.9922,-0.0076,0.0105,False
gpt1,relation2,-0.0078,0.1339,-0.0168,0.0013,False
gpt1,role1,0.0001,1.0,-0.0071,0.0072,False
gpt1,role3,0.0002,1.0,-0.0089,0.0093,False
relation1,relation2,-0.0092,0.1562,-0.0203,0.0019,False
relation1,role1,-0.0014,0.9949,-0.011,0.0082,False
relation1,role3,-0.0012,0.9981,-0.0124,0.0099,False
relation2,role1,0.0078,0.1718,-0.0018,0.0175,False
relation2,role3,0.008,0.286,-0.0031,0.0191,False
role1,role3,0.0001,1.0,-0.0095,0.0098,False
