group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0162,0.1385,-0.0023,0.0346,False
deepseek-r1:14b,deepseek-r1:70b,-0.0081,0.8883,-0.0266,0.0104,False
deepseek-r1:14b,deepseek-r1:7b,0.0097,0.7525,-0.0088,0.0282,False
deepseek-r1:14b,deepseek-r1:8b,-0.0106,0.666,-0.029,0.0079,False
deepseek-r1:14b,llama3.1:70b,-0.0011,1.0,-0.0195,0.0174,False
deepseek-r1:14b,llama3.1:8b,-0.0225,0.0057,-0.0409,-0.004,True
deepseek-r1:14b,llama3.3:70b,-0.0162,0.1336,-0.0347,0.0022,False
deepseek-r1:32b,deepseek-r1:70b,-0.0242,0.0018,-0.0427,-0.0058,True
deepseek-r1:32b,deepseek-r1:7b,-0.0064,0.9658,-0.0249,0.0121,False
deepseek-r1:32b,deepseek-r1:8b,-0.0267,0.0003,-0.0452,-0.0082,True
deepseek-r1:32b,llama3.1:70b,-0.0172,0.0891,-0.0357,0.0013,False
deepseek-r1:32b,llama3.1:8b,-0.0386,0.0,-0.0571,-0.0201,True
deepseek-r1:32b,llama3.3:70b,-0.0324,0.0,-0.0509,-0.0139,True
deepseek-r1:70b,deepseek-r1:7b,0.0178,0.0682,-0.0007,0.0363,False
deepseek-r1:70b,deepseek-r1:8b,-0.0025,0.9999,-0.0209,0.016,False
deepseek-r1:70b,llama3.1:70b,0.007,0.9447,-0.0115,0.0255,False
deepseek-r1:70b,llama3.1:8b,-0.0144,0.2634,-0.0328,0.0041,False
deepseek-r1:70b,llama3.3:70b,-0.0082,0.8844,-0.0266,0.0103,False
deepseek-r1:7b,deepseek-r1:8b,-0.0203,0.0199,-0.0388,-0.0018,True
deepseek-r1:7b,llama3.1:70b,-0.0108,0.6397,-0.0293,0.0077,False
deepseek-r1:7b,llama3.1:8b,-0.0322,0.0,-0.0507,-0.0137,True
deepseek-r1:7b,llama3.3:70b,-0.026,0.0006,-0.0445,-0.0075,True
deepseek-r1:8b,llama3.1:70b,0.0095,0.7756,-0.009,0.028,False
deepseek-r1:8b,llama3.1:8b,-0.0119,0.5147,-0.0304,0.0066,False
deepseek-r1:8b,llama3.3:70b,-0.0057,0.9828,-0.0242,0.0128,False
llama3.1:70b,llama3.1:8b,-0.0214,0.0108,-0.0399,-0.0029,True
llama3.1:70b,llama3.3:70b,-0.0152,0.1995,-0.0337,0.0033,False
llama3.1:8b,llama3.3:70b,0.0062,0.9717,-0.0123,0.0247,False
