group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0183,0.1122,-0.002,0.0387,False
deepseek-r1:14b,deepseek-r1:70b,0.0195,0.0716,-0.0008,0.0398,False
deepseek-r1:14b,deepseek-r1:7b,0.0131,0.5106,-0.0072,0.0334,False
deepseek-r1:14b,deepseek-r1:8b,0.0052,0.994,-0.0151,0.0256,False
deepseek-r1:14b,llama3.1:70b,0.0575,0.0,0.0372,0.0778,True
deepseek-r1:14b,llama3.1:8b,0.035,0.0,0.0147,0.0554,True
deepseek-r1:14b,llama3.3:70b,0.0288,0.0005,0.0084,0.0491,True
deepseek-r1:32b,deepseek-r1:70b,0.0011,1.0,-0.0192,0.0215,False
deepseek-r1:32b,deepseek-r1:7b,-0.0052,0.9942,-0.0255,0.0151,False
deepseek-r1:32b,deepseek-r1:8b,-0.0131,0.5138,-0.0334,0.0072,False
deepseek-r1:32b,llama3.1:70b,0.0392,0.0,0.0189,0.0595,True
deepseek-r1:32b,llama3.1:8b,0.0167,0.1991,-0.0036,0.037,False
deepseek-r1:32b,llama3.3:70b,0.0104,0.777,-0.0099,0.0307,False
deepseek-r1:70b,deepseek-r1:7b,-0.0064,0.9811,-0.0267,0.014,False
deepseek-r1:70b,deepseek-r1:8b,-0.0142,0.3995,-0.0346,0.0061,False
deepseek-r1:70b,llama3.1:70b,0.038,0.0,0.0177,0.0584,True
deepseek-r1:70b,llama3.1:8b,0.0156,0.282,-0.0048,0.0359,False
deepseek-r1:70b,llama3.3:70b,0.0093,0.8645,-0.011,0.0296,False
deepseek-r1:7b,deepseek-r1:8b,-0.0079,0.939,-0.0282,0.0124,False
deepseek-r1:7b,llama3.1:70b,0.0444,0.0,0.0241,0.0647,True
deepseek-r1:7b,llama3.1:8b,0.0219,0.0241,0.0016,0.0422,True
deepseek-r1:7b,llama3.3:70b,0.0156,0.2757,-0.0047,0.036,False
deepseek-r1:8b,llama3.1:70b,0.0523,0.0,0.0319,0.0726,True
deepseek-r1:8b,llama3.1:8b,0.0298,0.0002,0.0095,0.0501,True
deepseek-r1:8b,llama3.3:70b,0.0235,0.0108,0.0032,0.0438,True
llama3.1:70b,llama3.1:8b,-0.0225,0.0182,-0.0428,-0.0022,True
llama3.1:70b,llama3.3:70b,-0.0288,0.0005,-0.0491,-0.0084,True
llama3.1:8b,llama3.3:70b,-0.0063,0.9824,-0.0266,0.014,False
