group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0119,0.7016,-0.0096,0.0334,False
deepseek-r1:14b,deepseek-r1:70b,0.0113,0.7567,-0.0102,0.0328,False
deepseek-r1:14b,deepseek-r1:7b,0.0144,0.463,-0.0071,0.0359,False
deepseek-r1:14b,deepseek-r1:8b,-0.0075,0.9639,-0.029,0.0139,False
deepseek-r1:14b,llama3.1:70b,-0.0218,0.0445,-0.0433,-0.0003,True
deepseek-r1:14b,llama3.1:8b,-0.018,0.1767,-0.0395,0.0035,False
deepseek-r1:14b,llama3.3:70b,-0.027,0.0036,-0.0485,-0.0055,True
deepseek-r1:32b,deepseek-r1:70b,-0.0006,1.0,-0.0221,0.0209,False
deepseek-r1:32b,deepseek-r1:7b,0.0025,1.0,-0.019,0.024,False
deepseek-r1:32b,deepseek-r1:8b,-0.0194,0.1104,-0.0409,0.0021,False
deepseek-r1:32b,llama3.1:70b,-0.0337,0.0001,-0.0552,-0.0122,True
deepseek-r1:32b,llama3.1:8b,-0.0299,0.0007,-0.0514,-0.0084,True
deepseek-r1:32b,llama3.3:70b,-0.0389,0.0,-0.0604,-0.0174,True
deepseek-r1:70b,deepseek-r1:7b,0.0031,0.9999,-0.0184,0.0246,False
deepseek-r1:70b,deepseek-r1:8b,-0.0188,0.1374,-0.0403,0.0027,False
deepseek-r1:70b,llama3.1:70b,-0.033,0.0001,-0.0545,-0.0115,True
deepseek-r1:70b,llama3.1:8b,-0.0293,0.001,-0.0508,-0.0078,True
deepseek-r1:70b,llama3.3:70b,-0.0382,0.0,-0.0597,-0.0167,True
deepseek-r1:7b,deepseek-r1:8b,-0.0219,0.042,-0.0434,-0.0004,True
deepseek-r1:7b,llama3.1:70b,-0.0361,0.0,-0.0576,-0.0146,True
deepseek-r1:7b,llama3.1:8b,-0.0324,0.0001,-0.0539,-0.0109,True
deepseek-r1:7b,llama3.3:70b,-0.0413,0.0,-0.0628,-0.0199,True
deepseek-r1:8b,llama3.1:70b,-0.0142,0.4762,-0.0357,0.0073,False
deepseek-r1:8b,llama3.1:8b,-0.0105,0.8175,-0.032,0.011,False
deepseek-r1:8b,llama3.3:70b,-0.0194,0.1105,-0.0409,0.0021,False
llama3.1:70b,llama3.1:8b,0.0037,0.9995,-0.0178,0.0252,False
llama3.1:70b,llama3.3:70b,-0.0052,0.996,-0.0267,0.0163,False
llama3.1:8b,llama3.3:70b,-0.0089,0.913,-0.0304,0.0126,False
