group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0146,0.0953,-0.0012,0.0304,False
deepseek-r1:14b,deepseek-r1:70b,0.0215,0.001,0.0057,0.0373,True
deepseek-r1:14b,deepseek-r1:7b,0.0386,0.0,0.0228,0.0544,True
deepseek-r1:14b,deepseek-r1:8b,-0.0004,1.0,-0.0163,0.0154,False
deepseek-r1:14b,llama3.1:70b,-0.0142,0.1191,-0.03,0.0017,False
deepseek-r1:14b,llama3.1:8b,-0.0009,1.0,-0.0168,0.0149,False
deepseek-r1:14b,llama3.3:70b,-0.0252,0.0,-0.041,-0.0094,True
deepseek-r1:32b,deepseek-r1:70b,0.0069,0.8927,-0.009,0.0227,False
deepseek-r1:32b,deepseek-r1:7b,0.024,0.0001,0.0082,0.0398,True
deepseek-r1:32b,deepseek-r1:8b,-0.015,0.0766,-0.0309,0.0008,False
deepseek-r1:32b,llama3.1:70b,-0.0288,0.0,-0.0446,-0.0129,True
deepseek-r1:32b,llama3.1:8b,-0.0155,0.0587,-0.0314,0.0003,False
deepseek-r1:32b,llama3.3:70b,-0.0398,0.0,-0.0556,-0.024,True
deepseek-r1:70b,deepseek-r1:7b,0.0171,0.0235,0.0013,0.0329,True
deepseek-r1:70b,deepseek-r1:8b,-0.0219,0.0007,-0.0377,-0.0061,True
deepseek-r1:70b,llama3.1:70b,-0.0356,0.0,-0.0515,-0.0198,True
deepseek-r1:70b,llama3.1:8b,-0.0224,0.0005,-0.0382,-0.0066,True
deepseek-r1:70b,llama3.3:70b,-0.0467,0.0,-0.0625,-0.0308,True
deepseek-r1:7b,deepseek-r1:8b,-0.039,0.0,-0.0549,-0.0232,True
deepseek-r1:7b,llama3.1:70b,-0.0528,0.0,-0.0686,-0.0369,True
deepseek-r1:7b,llama3.1:8b,-0.0395,0.0,-0.0554,-0.0237,True
deepseek-r1:7b,llama3.3:70b,-0.0638,0.0,-0.0796,-0.048,True
deepseek-r1:8b,llama3.1:70b,-0.0137,0.1453,-0.0296,0.0021,False
deepseek-r1:8b,llama3.1:8b,-0.0005,1.0,-0.0163,0.0153,False
deepseek-r1:8b,llama3.3:70b,-0.0248,0.0001,-0.0406,-0.0089,True
llama3.1:70b,llama3.1:8b,0.0132,0.181,-0.0026,0.0291,False
llama3.1:70b,llama3.3:70b,-0.011,0.4067,-0.0269,0.0048,False
llama3.1:8b,llama3.3:70b,-0.0243,0.0001,-0.0401,-0.0084,True
