group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0129,0.1177,-0.0015,0.0273,False
deepseek-r1:14b,deepseek-r1:70b,0.0129,0.118,-0.0015,0.0273,False
deepseek-r1:14b,deepseek-r1:7b,0.0306,0.0,0.0162,0.0451,True
deepseek-r1:14b,deepseek-r1:8b,-0.0011,1.0,-0.0155,0.0133,False
deepseek-r1:14b,llama3.1:70b,0.0027,0.9992,-0.0117,0.0171,False
deepseek-r1:14b,llama3.1:8b,0.0209,0.0003,0.0064,0.0353,True
deepseek-r1:14b,llama3.3:70b,-0.0198,0.0009,-0.0342,-0.0054,True
deepseek-r1:32b,deepseek-r1:70b,-0.0,1.0,-0.0144,0.0144,False
deepseek-r1:32b,deepseek-r1:7b,0.0177,0.0049,0.0033,0.0321,True
deepseek-r1:32b,deepseek-r1:8b,-0.014,0.0637,-0.0284,0.0004,False
deepseek-r1:32b,llama3.1:70b,-0.0102,0.3843,-0.0246,0.0042,False
deepseek-r1:32b,llama3.1:8b,0.0079,0.7072,-0.0065,0.0224,False
deepseek-r1:32b,llama3.3:70b,-0.0327,0.0,-0.0471,-0.0183,True
deepseek-r1:70b,deepseek-r1:7b,0.0177,0.0049,0.0033,0.0322,True
deepseek-r1:70b,deepseek-r1:8b,-0.014,0.0639,-0.0284,0.0004,False
deepseek-r1:70b,llama3.1:70b,-0.0102,0.3851,-0.0246,0.0042,False
deepseek-r1:70b,llama3.1:8b,0.0079,0.7065,-0.0065,0.0224,False
deepseek-r1:70b,llama3.3:70b,-0.0327,0.0,-0.0471,-0.0183,True
deepseek-r1:7b,deepseek-r1:8b,-0.0317,0.0,-0.0462,-0.0173,True
deepseek-r1:7b,llama3.1:70b,-0.0279,0.0,-0.0424,-0.0135,True
deepseek-r1:7b,llama3.1:8b,-0.0098,0.4438,-0.0242,0.0046,False
deepseek-r1:7b,llama3.3:70b,-0.0504,0.0,-0.0648,-0.036,True
deepseek-r1:8b,llama3.1:70b,0.0038,0.9931,-0.0106,0.0182,False
deepseek-r1:8b,llama3.1:8b,0.022,0.0001,0.0075,0.0364,True
deepseek-r1:8b,llama3.3:70b,-0.0187,0.0022,-0.0331,-0.0043,True
llama3.1:70b,llama3.1:8b,0.0182,0.0035,0.0037,0.0326,True
llama3.1:70b,llama3.3:70b,-0.0225,0.0001,-0.0369,-0.0081,True
llama3.1:8b,llama3.3:70b,-0.0406,0.0,-0.0551,-0.0262,True
