group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0015,1.0,-0.0145,0.0174,False
deepseek-r1:14b,deepseek-r1:70b,0.0041,0.994,-0.0119,0.0201,False
deepseek-r1:14b,deepseek-r1:7b,0.0159,0.0511,-0.0,0.0319,False
deepseek-r1:14b,deepseek-r1:8b,-0.013,0.2085,-0.029,0.003,False
deepseek-r1:14b,llama3.1:70b,-0.0213,0.0014,-0.0373,-0.0053,True
deepseek-r1:14b,llama3.1:8b,-0.0042,0.9931,-0.0202,0.0118,False
deepseek-r1:14b,llama3.3:70b,-0.0306,0.0,-0.0465,-0.0146,True
deepseek-r1:32b,deepseek-r1:70b,0.0027,0.9996,-0.0133,0.0186,False
deepseek-r1:32b,deepseek-r1:7b,0.0145,0.1084,-0.0015,0.0305,False
deepseek-r1:32b,deepseek-r1:8b,-0.0145,0.1094,-0.0304,0.0015,False
deepseek-r1:32b,llama3.1:70b,-0.0228,0.0004,-0.0388,-0.0068,True
deepseek-r1:32b,llama3.1:8b,-0.0057,0.9616,-0.0217,0.0103,False
deepseek-r1:32b,llama3.3:70b,-0.032,0.0,-0.048,-0.016,True
deepseek-r1:70b,deepseek-r1:7b,0.0118,0.3256,-0.0042,0.0278,False
deepseek-r1:70b,deepseek-r1:8b,-0.0171,0.0256,-0.0331,-0.0012,True
deepseek-r1:70b,llama3.1:70b,-0.0254,0.0,-0.0414,-0.0095,True
deepseek-r1:70b,llama3.1:8b,-0.0083,0.7608,-0.0243,0.0076,False
deepseek-r1:70b,llama3.3:70b,-0.0347,0.0,-0.0507,-0.0187,True
deepseek-r1:7b,deepseek-r1:8b,-0.029,0.0,-0.0449,-0.013,True
deepseek-r1:7b,llama3.1:70b,-0.0373,0.0,-0.0532,-0.0213,True
deepseek-r1:7b,llama3.1:8b,-0.0202,0.0033,-0.0361,-0.0042,True
deepseek-r1:7b,llama3.3:70b,-0.0465,0.0,-0.0625,-0.0305,True
deepseek-r1:8b,llama3.1:70b,-0.0083,0.7638,-0.0243,0.0077,False
deepseek-r1:8b,llama3.1:8b,0.0088,0.707,-0.0072,0.0248,False
deepseek-r1:8b,llama3.3:70b,-0.0175,0.0199,-0.0335,-0.0016,True
llama3.1:70b,llama3.1:8b,0.0171,0.026,0.0011,0.0331,True
llama3.1:70b,llama3.3:70b,-0.0092,0.6525,-0.0252,0.0067,False
llama3.1:8b,llama3.3:70b,-0.0263,0.0,-0.0423,-0.0104,True
