group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0004,1.0,-0.0047,0.0055,False
deepseek-r1:14b,deepseek-r1:70b,-0.0034,0.4542,-0.0085,0.0017,False
deepseek-r1:14b,deepseek-r1:7b,-0.0011,0.9984,-0.0062,0.004,False
deepseek-r1:14b,deepseek-r1:8b,-0.0021,0.9237,-0.0071,0.003,False
deepseek-r1:14b,llama3.1:70b,-0.0034,0.4673,-0.0085,0.0017,False
deepseek-r1:14b,llama3.1:8b,0.0002,1.0,-0.0049,0.0053,False
deepseek-r1:14b,llama3.3:70b,-0.0055,0.024,-0.0106,-0.0004,True
deepseek-r1:32b,deepseek-r1:70b,-0.0038,0.2978,-0.0089,0.0012,False
deepseek-r1:32b,deepseek-r1:7b,-0.0015,0.9871,-0.0066,0.0036,False
deepseek-r1:32b,deepseek-r1:8b,-0.0025,0.8183,-0.0076,0.0026,False
deepseek-r1:32b,llama3.1:70b,-0.0038,0.3088,-0.0089,0.0013,False
deepseek-r1:32b,llama3.1:8b,-0.0002,1.0,-0.0053,0.0049,False
deepseek-r1:32b,llama3.3:70b,-0.0059,0.0103,-0.011,-0.0008,True
deepseek-r1:70b,deepseek-r1:7b,0.0024,0.8559,-0.0027,0.0074,False
deepseek-r1:70b,deepseek-r1:8b,0.0014,0.9925,-0.0037,0.0064,False
deepseek-r1:70b,llama3.1:70b,0.0,1.0,-0.0051,0.0051,False
deepseek-r1:70b,llama3.1:8b,0.0036,0.3744,-0.0015,0.0087,False
deepseek-r1:70b,llama3.3:70b,-0.0021,0.9229,-0.0071,0.003,False
deepseek-r1:7b,deepseek-r1:8b,-0.001,0.999,-0.0061,0.0041,False
deepseek-r1:7b,llama3.1:70b,-0.0023,0.8647,-0.0074,0.0028,False
deepseek-r1:7b,llama3.1:8b,0.0013,0.995,-0.0038,0.0064,False
deepseek-r1:7b,llama3.3:70b,-0.0044,0.1441,-0.0095,0.0007,False
deepseek-r1:8b,llama3.1:70b,-0.0013,0.9935,-0.0064,0.0038,False
deepseek-r1:8b,llama3.1:8b,0.0023,0.8791,-0.0028,0.0073,False
deepseek-r1:8b,llama3.3:70b,-0.0034,0.4525,-0.0085,0.0017,False
llama3.1:70b,llama3.1:8b,0.0036,0.3866,-0.0015,0.0087,False
llama3.1:70b,llama3.3:70b,-0.0021,0.9166,-0.0072,0.003,False
llama3.1:8b,llama3.3:70b,-0.0057,0.016,-0.0108,-0.0006,True
