group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.4101,0.9924,-1.1713,1.9916,False
deepseek-r1:14b,deepseek-r1:70b,-0.0596,1.0,-1.641,1.5218,False
deepseek-r1:14b,deepseek-r1:7b,-0.4769,0.9816,-2.0583,1.1046,False
deepseek-r1:14b,deepseek-r1:8b,0.0099,1.0,-1.5715,1.5913,False
deepseek-r1:14b,llama3.1:70b,1.6504,0.0344,0.069,3.2318,True
deepseek-r1:14b,llama3.1:8b,0.2474,0.9997,-1.334,1.8288,False
deepseek-r1:14b,llama3.3:70b,-0.1045,1.0,-1.686,1.4769,False
deepseek-r1:32b,deepseek-r1:70b,-0.4697,0.9831,-2.0511,1.1117,False
deepseek-r1:32b,deepseek-r1:7b,-0.887,0.6603,-2.4684,0.6944,False
deepseek-r1:32b,deepseek-r1:8b,-0.4002,0.9935,-1.9816,1.1812,False
deepseek-r1:32b,llama3.1:70b,1.2403,0.2378,-0.3411,2.8217,False
deepseek-r1:32b,llama3.1:8b,-0.1627,1.0,-1.7442,1.4187,False
deepseek-r1:32b,llama3.3:70b,-0.5147,0.9717,-2.0961,1.0668,False
deepseek-r1:70b,deepseek-r1:7b,-0.4173,0.9916,-1.9987,1.1642,False
deepseek-r1:70b,deepseek-r1:8b,0.0695,1.0,-1.5119,1.6509,False
deepseek-r1:70b,llama3.1:70b,1.71,0.0246,0.1286,3.2914,True
deepseek-r1:70b,llama3.1:8b,0.307,0.9988,-1.2745,1.8884,False
deepseek-r1:70b,llama3.3:70b,-0.0449,1.0,-1.6264,1.5365,False
deepseek-r1:7b,deepseek-r1:8b,0.4868,0.9793,-1.0947,2.0682,False
deepseek-r1:7b,llama3.1:70b,2.1273,0.0017,0.5459,3.7087,True
deepseek-r1:7b,llama3.1:8b,0.7242,0.8447,-0.8572,2.3057,False
deepseek-r1:7b,llama3.3:70b,0.3723,0.9958,-1.2091,1.9537,False
deepseek-r1:8b,llama3.1:70b,1.6405,0.0364,0.0591,3.2219,True
deepseek-r1:8b,llama3.1:8b,0.2375,0.9998,-1.344,1.8189,False
deepseek-r1:8b,llama3.3:70b,-0.1144,1.0,-1.6959,1.467,False
llama3.1:70b,llama3.1:8b,-1.403,0.1203,-2.9845,0.1784,False
llama3.1:70b,llama3.3:70b,-1.755,0.019,-3.3364,-0.1735,True
llama3.1:8b,llama3.3:70b,-0.3519,0.997,-1.9333,1.2295,False
