group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.3094,0.995,-0.9696,1.5884,False
deepseek-r1:14b,deepseek-r1:70b,0.1105,1.0,-1.1685,1.3895,False
deepseek-r1:14b,deepseek-r1:7b,-0.1073,1.0,-1.3863,1.1717,False
deepseek-r1:14b,deepseek-r1:8b,-0.2468,0.9988,-1.5258,1.0322,False
deepseek-r1:14b,llama3.1:70b,-1.7304,0.0016,-3.0094,-0.4514,True
deepseek-r1:14b,llama3.1:8b,-1.3847,0.0243,-2.6637,-0.1057,True
deepseek-r1:14b,llama3.3:70b,-2.6854,0.0,-3.9644,-1.4064,True
deepseek-r1:32b,deepseek-r1:70b,-0.1989,0.9997,-1.4779,1.0801,False
deepseek-r1:32b,deepseek-r1:7b,-0.4167,0.9715,-1.6957,0.8623,False
deepseek-r1:32b,deepseek-r1:8b,-0.5562,0.8766,-1.8352,0.7228,False
deepseek-r1:32b,llama3.1:70b,-2.0398,0.0001,-3.3188,-0.7608,True
deepseek-r1:32b,llama3.1:8b,-1.6941,0.0022,-2.9731,-0.4151,True
deepseek-r1:32b,llama3.3:70b,-2.9948,0.0,-4.2738,-1.7158,True
deepseek-r1:70b,deepseek-r1:7b,-0.2178,0.9995,-1.4968,1.0612,False
deepseek-r1:70b,deepseek-r1:8b,-0.3573,0.9882,-1.6363,0.9217,False
deepseek-r1:70b,llama3.1:70b,-1.8409,0.0006,-3.1199,-0.5619,True
deepseek-r1:70b,llama3.1:8b,-1.4952,0.0108,-2.7742,-0.2162,True
deepseek-r1:70b,llama3.3:70b,-2.7959,0.0,-4.0749,-1.5169,True
deepseek-r1:7b,deepseek-r1:8b,-0.1395,1.0,-1.4185,1.1395,False
deepseek-r1:7b,llama3.1:70b,-1.6231,0.0039,-2.9021,-0.3441,True
deepseek-r1:7b,llama3.1:8b,-1.2774,0.0505,-2.5564,0.0016,False
deepseek-r1:7b,llama3.3:70b,-2.5781,0.0,-3.8571,-1.2991,True
deepseek-r1:8b,llama3.1:70b,-1.4836,0.0118,-2.7626,-0.2046,True
deepseek-r1:8b,llama3.1:8b,-1.1378,0.1182,-2.4168,0.1412,False
deepseek-r1:8b,llama3.3:70b,-2.4386,0.0,-3.7176,-1.1596,True
llama3.1:70b,llama3.1:8b,0.3458,0.9903,-0.9332,1.6247,False
llama3.1:70b,llama3.3:70b,-0.955,0.2956,-2.234,0.324,False
llama3.1:8b,llama3.3:70b,-1.3008,0.0433,-2.5798,-0.0218,True
