group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.191,0.5958,-0.1315,0.5136,False
deepseek-r1:14b,deepseek-r1:70b,0.1434,0.8638,-0.1792,0.466,False
deepseek-r1:14b,deepseek-r1:7b,0.4355,0.0016,0.1129,0.7581,True
deepseek-r1:14b,deepseek-r1:8b,0.2524,0.2405,-0.0702,0.575,False
deepseek-r1:14b,llama3.1:70b,-0.1011,0.9771,-0.4237,0.2215,False
deepseek-r1:14b,llama3.1:8b,0.1745,0.7001,-0.1481,0.4971,False
deepseek-r1:14b,llama3.3:70b,-0.2731,0.1597,-0.5957,0.0495,False
deepseek-r1:32b,deepseek-r1:70b,-0.0477,0.9998,-0.3702,0.2749,False
deepseek-r1:32b,deepseek-r1:7b,0.2445,0.2775,-0.0781,0.5671,False
deepseek-r1:32b,deepseek-r1:8b,0.0614,0.9989,-0.2612,0.3839,False
deepseek-r1:32b,llama3.1:70b,-0.2921,0.1052,-0.6147,0.0305,False
deepseek-r1:32b,llama3.1:8b,-0.0165,1.0,-0.3391,0.306,False
deepseek-r1:32b,llama3.3:70b,-0.4641,0.0006,-0.7867,-0.1415,True
deepseek-r1:70b,deepseek-r1:7b,0.2921,0.1052,-0.0304,0.6147,False
deepseek-r1:70b,deepseek-r1:8b,0.109,0.9652,-0.2136,0.4316,False
deepseek-r1:70b,llama3.1:70b,-0.2445,0.2776,-0.567,0.0781,False
deepseek-r1:70b,llama3.1:8b,0.0311,1.0,-0.2915,0.3537,False
deepseek-r1:70b,llama3.3:70b,-0.4165,0.0031,-0.7391,-0.0939,True
deepseek-r1:7b,deepseek-r1:8b,-0.1831,0.6464,-0.5057,0.1394,False
deepseek-r1:7b,llama3.1:70b,-0.5366,0.0,-0.8592,-0.214,True
deepseek-r1:7b,llama3.1:8b,-0.261,0.204,-0.5836,0.0616,False
deepseek-r1:7b,llama3.3:70b,-0.7086,0.0,-1.0312,-0.386,True
deepseek-r1:8b,llama3.1:70b,-0.3535,0.0216,-0.6761,-0.0309,True
deepseek-r1:8b,llama3.1:8b,-0.0779,0.9951,-0.4005,0.2447,False
deepseek-r1:8b,llama3.3:70b,-0.5255,0.0001,-0.8481,-0.2029,True
llama3.1:70b,llama3.1:8b,0.2756,0.1516,-0.047,0.5982,False
llama3.1:70b,llama3.3:70b,-0.172,0.7151,-0.4946,0.1506,False
llama3.1:8b,llama3.3:70b,-0.4476,0.0011,-0.7702,-0.125,True
