group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0651,0.9955,-0.2081,0.3383,False
deepseek-r1:14b,deepseek-r1:70b,0.1216,0.8629,-0.1516,0.3948,False
deepseek-r1:14b,deepseek-r1:7b,0.296,0.0241,0.0228,0.5693,True
deepseek-r1:14b,deepseek-r1:8b,0.0868,0.9752,-0.1864,0.36,False
deepseek-r1:14b,llama3.1:70b,0.0642,0.9958,-0.209,0.3374,False
deepseek-r1:14b,llama3.1:8b,0.2431,0.1181,-0.0301,0.5163,False
deepseek-r1:14b,llama3.3:70b,-0.1063,0.9276,-0.3795,0.1669,False
deepseek-r1:32b,deepseek-r1:70b,0.0565,0.9981,-0.2167,0.3297,False
deepseek-r1:32b,deepseek-r1:7b,0.2309,0.1613,-0.0423,0.5041,False
deepseek-r1:32b,deepseek-r1:8b,0.0217,1.0,-0.2515,0.2949,False
deepseek-r1:32b,llama3.1:70b,-0.0009,1.0,-0.2741,0.2723,False
deepseek-r1:32b,llama3.1:8b,0.178,0.4729,-0.0952,0.4512,False
deepseek-r1:32b,llama3.3:70b,-0.1714,0.5226,-0.4446,0.1018,False
deepseek-r1:70b,deepseek-r1:7b,0.1744,0.4996,-0.0988,0.4476,False
deepseek-r1:70b,deepseek-r1:8b,-0.0348,0.9999,-0.308,0.2384,False
deepseek-r1:70b,llama3.1:70b,-0.0574,0.9979,-0.3306,0.2158,False
deepseek-r1:70b,llama3.1:8b,0.1215,0.8637,-0.1517,0.3947,False
deepseek-r1:70b,llama3.3:70b,-0.2279,0.1736,-0.5011,0.0453,False
deepseek-r1:7b,deepseek-r1:8b,-0.2092,0.2653,-0.4824,0.064,False
deepseek-r1:7b,llama3.1:70b,-0.2318,0.1578,-0.505,0.0414,False
deepseek-r1:7b,llama3.1:8b,-0.0529,0.9988,-0.3262,0.2203,False
deepseek-r1:7b,llama3.3:70b,-0.4023,0.0004,-0.6755,-0.1291,True
deepseek-r1:8b,llama3.1:70b,-0.0226,1.0,-0.2958,0.2506,False
deepseek-r1:8b,llama3.1:8b,0.1563,0.6378,-0.117,0.4295,False
deepseek-r1:8b,llama3.3:70b,-0.1931,0.3652,-0.4663,0.0801,False
llama3.1:70b,llama3.1:8b,0.1789,0.4663,-0.0944,0.4521,False
llama3.1:70b,llama3.3:70b,-0.1705,0.5293,-0.4437,0.1027,False
llama3.1:8b,llama3.3:70b,-0.3494,0.0035,-0.6226,-0.0761,True
