group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.0381,0.9998,-0.2127,0.2889,False
deepseek-r1:14b,deepseek-r1:70b,0.0142,1.0,-0.2366,0.265,False
deepseek-r1:14b,deepseek-r1:7b,0.1238,0.7879,-0.127,0.3746,False
deepseek-r1:14b,deepseek-r1:8b,-0.1143,0.848,-0.3651,0.1365,False
deepseek-r1:14b,llama3.1:70b,-0.2251,0.1116,-0.4759,0.0257,False
deepseek-r1:14b,llama3.1:8b,0.0276,1.0,-0.2232,0.2784,False
deepseek-r1:14b,llama3.3:70b,-0.2823,0.0163,-0.5331,-0.0315,True
deepseek-r1:32b,deepseek-r1:70b,-0.0239,1.0,-0.2747,0.2269,False
deepseek-r1:32b,deepseek-r1:7b,0.0857,0.9631,-0.1651,0.3365,False
deepseek-r1:32b,deepseek-r1:8b,-0.1524,0.5637,-0.4032,0.0984,False
deepseek-r1:32b,llama3.1:70b,-0.2632,0.0327,-0.514,-0.0124,True
deepseek-r1:32b,llama3.1:8b,-0.0105,1.0,-0.2613,0.2403,False
deepseek-r1:32b,llama3.3:70b,-0.3204,0.0036,-0.5712,-0.0696,True
deepseek-r1:70b,deepseek-r1:7b,0.1096,0.874,-0.1412,0.3604,False
deepseek-r1:70b,deepseek-r1:8b,-0.1285,0.7544,-0.3793,0.1223,False
deepseek-r1:70b,llama3.1:70b,-0.2393,0.0725,-0.4901,0.0115,False
deepseek-r1:70b,llama3.1:8b,0.0134,1.0,-0.2374,0.2642,False
deepseek-r1:70b,llama3.3:70b,-0.2965,0.0094,-0.5474,-0.0457,True
deepseek-r1:7b,deepseek-r1:8b,-0.2381,0.0754,-0.4889,0.0127,False
deepseek-r1:7b,llama3.1:70b,-0.3489,0.001,-0.5997,-0.0981,True
deepseek-r1:7b,llama3.1:8b,-0.0962,0.9325,-0.347,0.1546,False
deepseek-r1:7b,llama3.3:70b,-0.4061,0.0001,-0.6569,-0.1553,True
deepseek-r1:8b,llama3.1:70b,-0.1108,0.8674,-0.3616,0.14,False
deepseek-r1:8b,llama3.1:8b,0.1419,0.6506,-0.1089,0.3927,False
deepseek-r1:8b,llama3.3:70b,-0.168,0.4357,-0.4188,0.0828,False
llama3.1:70b,llama3.1:8b,0.2527,0.0469,0.0019,0.5035,True
llama3.1:70b,llama3.3:70b,-0.0572,0.9966,-0.308,0.1936,False
llama3.1:8b,llama3.3:70b,-0.3099,0.0055,-0.5607,-0.0591,True
