group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.044,0.7442,-0.0409,0.1289,False
deepseek-r1:14b,deepseek-r1:70b,0.0105,0.9999,-0.0745,0.0954,False
deepseek-r1:14b,deepseek-r1:7b,0.0744,0.1299,-0.0105,0.1594,False
deepseek-r1:14b,deepseek-r1:8b,0.0523,0.5472,-0.0327,0.1372,False
deepseek-r1:14b,llama3.1:70b,0.0542,0.5006,-0.0307,0.1391,False
deepseek-r1:14b,llama3.1:8b,0.1783,0.0,0.0934,0.2632,True
deepseek-r1:14b,llama3.3:70b,-0.0326,0.9325,-0.1175,0.0524,False
deepseek-r1:32b,deepseek-r1:70b,-0.0335,0.9221,-0.1184,0.0514,False
deepseek-r1:32b,deepseek-r1:7b,0.0305,0.9522,-0.0545,0.1154,False
deepseek-r1:32b,deepseek-r1:8b,0.0083,1.0,-0.0766,0.0932,False
deepseek-r1:32b,llama3.1:70b,0.0102,0.9999,-0.0747,0.0951,False
deepseek-r1:32b,llama3.1:8b,0.1343,0.0001,0.0494,0.2192,True
deepseek-r1:32b,llama3.3:70b,-0.0765,0.1085,-0.1615,0.0084,False
deepseek-r1:70b,deepseek-r1:7b,0.064,0.2848,-0.0209,0.1489,False
deepseek-r1:70b,deepseek-r1:8b,0.0418,0.79,-0.0431,0.1267,False
deepseek-r1:70b,llama3.1:70b,0.0437,0.7501,-0.0412,0.1286,False
deepseek-r1:70b,llama3.1:8b,0.1678,0.0,0.0829,0.2527,True
deepseek-r1:70b,llama3.3:70b,-0.043,0.7647,-0.128,0.0419,False
deepseek-r1:7b,deepseek-r1:8b,-0.0222,0.9921,-0.1071,0.0628,False
deepseek-r1:7b,llama3.1:70b,-0.0203,0.9954,-0.1052,0.0647,False
deepseek-r1:7b,llama3.1:8b,0.1038,0.0063,0.0189,0.1888,True
deepseek-r1:7b,llama3.3:70b,-0.107,0.0043,-0.1919,-0.0221,True
deepseek-r1:8b,llama3.1:70b,0.0019,1.0,-0.083,0.0868,False
deepseek-r1:8b,llama3.1:8b,0.126,0.0004,0.0411,0.2109,True
deepseek-r1:8b,llama3.3:70b,-0.0848,0.0504,-0.1698,0.0001,False
llama3.1:70b,llama3.1:8b,0.1241,0.0005,0.0392,0.209,True
llama3.1:70b,llama3.3:70b,-0.0867,0.0417,-0.1717,-0.0018,True
llama3.1:8b,llama3.3:70b,-0.2108,0.0,-0.2958,-0.1259,True
