group1,group2,meandiff,p-adj,lower,upper,reject
deepseek-r1:14b,deepseek-r1:32b,0.003,1.0,-0.0556,0.0615,False
deepseek-r1:14b,deepseek-r1:70b,-0.0415,0.361,-0.1,0.017,False
deepseek-r1:14b,deepseek-r1:7b,-0.0172,0.9817,-0.0745,0.04,False
deepseek-r1:14b,deepseek-r1:8b,-0.026,0.8485,-0.0833,0.0312,False
deepseek-r1:14b,llama3.1:70b,-0.0308,0.7049,-0.0881,0.0264,False
deepseek-r1:14b,llama3.1:8b,-0.0022,1.0,-0.0594,0.0551,False
deepseek-r1:14b,llama3.3:70b,-0.0474,0.1807,-0.1046,0.0099,False
deepseek-r1:32b,deepseek-r1:70b,-0.0444,0.3005,-0.1042,0.0153,False
deepseek-r1:32b,deepseek-r1:7b,-0.0202,0.9609,-0.0787,0.0383,False
deepseek-r1:32b,deepseek-r1:8b,-0.029,0.7834,-0.0875,0.0295,False
deepseek-r1:32b,llama3.1:70b,-0.0338,0.6266,-0.0923,0.0248,False
deepseek-r1:32b,llama3.1:8b,-0.0051,1.0,-0.0637,0.0534,False
deepseek-r1:32b,llama3.3:70b,-0.0504,0.1453,-0.1089,0.0082,False
deepseek-r1:70b,deepseek-r1:7b,0.0243,0.9011,-0.0343,0.0828,False
deepseek-r1:70b,deepseek-r1:8b,0.0154,0.9916,-0.0431,0.074,False
deepseek-r1:70b,llama3.1:70b,0.0107,0.9992,-0.0479,0.0692,False
deepseek-r1:70b,llama3.1:8b,0.0393,0.4315,-0.0192,0.0978,False
deepseek-r1:70b,llama3.3:70b,-0.0059,1.0,-0.0644,0.0526,False
deepseek-r1:7b,deepseek-r1:8b,-0.0088,0.9997,-0.0661,0.0484,False
deepseek-r1:7b,llama3.1:70b,-0.0136,0.9956,-0.0708,0.0437,False
deepseek-r1:7b,llama3.1:8b,0.0151,0.9917,-0.0422,0.0723,False
deepseek-r1:7b,llama3.3:70b,-0.0302,0.7267,-0.0874,0.0271,False
deepseek-r1:8b,llama3.1:70b,-0.0048,1.0,-0.062,0.0525,False
deepseek-r1:8b,llama3.1:8b,0.0239,0.8978,-0.0334,0.0811,False
deepseek-r1:8b,llama3.3:70b,-0.0213,0.9414,-0.0786,0.0359,False
llama3.1:70b,llama3.1:8b,0.0286,0.7754,-0.0286,0.0859,False
llama3.1:70b,llama3.3:70b,-0.0166,0.9853,-0.0738,0.0407,False
llama3.1:8b,llama3.3:70b,-0.0452,0.2294,-0.1025,0.012,False
