,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.16839209536711375,0.017134504871139298,7.046666666666667,0.12089771099975943
1,Ground,8,16,0.2700072318315506,0.016951137606633335,6.453333333333333,0.13093594132551198
2,Ground,8,32,0.37812549829483033,0.013221594582437688,5.653333333333333,0.12405767103240169
3,Ground,8,64,0.48439579248428344,0.0050616756673053185,4.52,0.07371266544481936
4,Ground,8,128,0.5077033042907715,0.002805143339497696,4.1866666666666665,0.037106373080532246
5,Ground,16,8,0.18410350600878397,0.017172641044471193,6.946666666666666,0.11844883608996068
6,Ground,16,16,0.28328254679838816,0.01710101011707538,6.286666666666667,0.13016481263735877
7,Ground,16,32,0.37947575469811756,0.013679404295864393,5.573333333333333,0.12273784531525866
8,Ground,16,64,0.4971235436201096,0.003907606321856213,4.333333333333333,0.05406654832725927
9,Ground,16,128,0.5136541748046874,0.0019801353606636895,4.1066666666666665,0.02528878692663471
10,Ground,32,8,0.15721541861693064,0.01662397282750838,7.133333333333334,0.11338464426042943
11,Ground,32,16,0.29721278508504234,0.016728675154185055,6.206666666666667,0.1304943848952405
12,Ground,32,32,0.4146027100086212,0.010459486396906062,5.306666666666667,0.1053158312421084
13,Ground,32,64,0.5035964202880859,0.0034674316221439986,4.246666666666667,0.048176285780023954
14,Ground,32,128,0.5137324756383896,0.0020784350765893377,4.1066666666666665,0.02700015190390058
15,Ground,64,8,0.19126769443353017,0.016871946848423847,6.98,0.11718930554164632
16,Ground,64,16,0.27978725771109264,0.01752491900770644,6.26,0.1322427433802467
17,Ground,64,32,0.4046503335237503,0.011720378472611972,5.4,0.11662671095924922
18,Ground,64,64,0.4937418568134308,0.00442725811607303,4.386666666666667,0.06330683538460223
19,Ground,64,128,0.5194745433330535,0.001311029188665231,4.033333333333333,0.01748547922118043
20,Abstract,8,8,0.38078544557094574,0.013976728788006468,5.526666666666666,0.12250066581261478
21,Abstract,8,16,0.4572745007276535,0.008106251946091022,4.846666666666667,0.0968112010578373
22,Abstract,8,32,0.5018072444200515,0.0033749085558749618,4.266666666666667,0.046019805741735635
23,Abstract,8,64,0.5132887703180313,0.002221223235075043,4.113333333333333,0.029212890824184823
24,Abstract,8,128,0.5141761809587478,0.0019243984685113347,4.1,0.024576957615571212
25,Abstract,16,8,0.38837891856829326,0.013595042908094065,5.466666666666667,0.12212388424121863
26,Abstract,16,16,0.4942381542921066,0.0041526632628691214,4.373333333333333,0.05718736947475558
27,Abstract,16,32,0.5157421994209289,0.0017402540576619697,4.08,0.02222520487067834
28,Abstract,16,64,0.5137324756383896,0.0020784350765893377,4.1066666666666665,0.02700015190390058
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
30,Abstract,32,8,0.37034099141756693,0.014852245516037673,5.586666666666667,0.12698065404859904
31,Abstract,32,16,0.48951660871505737,0.00417702629928735,4.433333333333334,0.05786404389977851
32,Abstract,32,32,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
33,Abstract,32,64,0.5157421994209289,0.0017402540576619695,4.08,0.02222520487067834
34,Abstract,32,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
35,Abstract,64,8,0.3780340603987376,0.013300580769638897,5.613333333333333,0.1192019198179808
36,Abstract,64,16,0.48944744348526004,0.003815231506401882,4.426666666666667,0.05124548687863922
37,Abstract,64,32,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.01840792229669425
38,Abstract,64,64,0.5152201932668686,0.0018047391875110062,4.086666666666667,0.023048760038210964
39,Abstract,64,128,0.5188742363452912,0.0012570118159056457,4.04,0.016053601490175626
40,LLM,8,8,0.2654461149374644,0.016816803569167652,6.486666666666666,0.12646870200812999
41,LLM,8,16,0.44593187133471174,0.008833836848957007,4.993333333333333,0.10512447790044152
42,LLM,8,32,0.4954266321659088,0.004122394666210616,4.36,0.0592873410967103
43,LLM,8,64,0.5088138723373413,0.002781565920541909,4.173333333333333,0.03753794997455668
44,LLM,8,128,0.5153767949342728,0.0020128641421057153,4.086666666666667,0.026649882861374475
45,LLM,16,8,0.27742572367191315,0.01669363948236011,6.413333333333333,0.12873039188814298
46,LLM,16,16,0.47781718711058296,0.0060267415856633,4.586666666666667,0.07695936733582728
47,LLM,16,32,0.506882449388504,0.003041015180300281,4.2,0.04123376909338428
48,LLM,16,64,0.5162642055749893,0.0016721923471551801,4.073333333333333,0.021355972327761888
49,LLM,16,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
50,LLM,32,8,0.31174035092194874,0.016152483543839066,6.153333333333333,0.13268410169517197
51,LLM,32,16,0.4781317186355591,0.005048435207718071,4.6,0.07327433054473118
52,LLM,32,32,0.5082253104448319,0.0027736075962692926,4.18,0.03672255248886628
53,LLM,32,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
54,LLM,32,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
55,LLM,64,8,0.3131135525306066,0.01624939227554993,6.133333333333334,0.1329973395191227
56,LLM,64,16,0.481213772892952,0.00548813215498256,4.573333333333333,0.08156559055761613
57,LLM,64,32,0.5143993383646012,0.0021722914611243416,4.1,0.029537826959282396
58,LLM,64,64,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
59,LLM,64,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
