,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.13699896434942882,0.015607742230834337,7.273333333333333,0.09916730114661765
1,Ground,8,16,0.2515859772761663,0.016967173927481625,6.6066666666666665,0.12723058271589108
2,Ground,8,32,0.38631925721963245,0.012958856200151636,5.546666666666667,0.12061982602798607
3,Ground,8,64,0.4757474974791209,0.006400151311185509,4.626666666666667,0.0848985006134568
4,Ground,8,128,0.509869629740715,0.0027470310574526716,4.16,0.03673473446050304
5,Ground,16,8,0.17490764717260995,0.017197708071477445,7.033333333333333,0.12276336039199674
6,Ground,16,16,0.25978621721267703,0.01757871807950495,6.446666666666666,0.13227882783090864
7,Ground,16,32,0.41660471181074776,0.011156627324567766,5.273333333333333,0.11426123632610959
8,Ground,16,64,0.5014392304420471,0.003113630975439022,4.266666666666667,0.04087046889188094
9,Ground,16,128,0.515820500254631,0.0018507420011994065,4.08,0.024154610122223027
10,Ground,32,8,0.13889526089032492,0.015540951631328603,7.3133333333333335,0.10061851968007675
11,Ground,32,16,0.2857025025288264,0.017249139819415702,6.253333333333333,0.1324985050497461
12,Ground,32,32,0.4023791937033335,0.011879320161946563,5.4,0.11430169271491304
13,Ground,32,64,0.4988909912109375,0.00396379670912136,4.3133333333333335,0.056073351342664654
14,Ground,32,128,0.5163425064086914,0.0017867401539860494,4.073333333333333,0.023357290353915337
15,Ground,64,8,0.1673675928513209,0.016960387004336483,7.053333333333334,0.11692811867388643
16,Ground,64,16,0.30354604760805765,0.016279026934203925,6.226666666666667,0.13146793543002855
17,Ground,64,32,0.42030132114887236,0.010667136716045753,5.233333333333333,0.10885479385249028
18,Ground,64,64,0.48990378419558206,0.005362952896934272,4.413333333333333,0.06428868522898326
19,Ground,64,128,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
20,Abstract,8,8,0.351143950621287,0.015237297396290834,5.8133333333333335,0.1325660248032662
21,Abstract,8,16,0.46380138556162515,0.006650442352330924,4.793333333333333,0.0898901475573916
22,Abstract,8,32,0.5039618247747422,0.0033253156352657212,4.24,0.04603276724199033
23,Abstract,8,64,0.5112790465354919,0.002481744698981673,4.14,0.03281021284774139
24,Abstract,8,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
25,Abstract,16,8,0.3936498554547628,0.01304708060250672,5.433333333333334,0.11868657299792822
26,Abstract,16,16,0.4904632014036179,0.004389572601743423,4.426666666666667,0.06228078633102218
27,Abstract,16,32,0.5167862117290497,0.001600097721067088,4.066666666666666,0.020435234445940465
28,Abstract,16,64,0.5168645125627518,0.001719295556654799,4.066666666666666,0.022518531601184104
29,Abstract,16,128,0.5193962424993515,0.0011514669897256418,4.033333333333333,0.014705663024201157
30,Abstract,32,8,0.36721300105253857,0.014015189232876682,5.713333333333333,0.12597242930722186
31,Abstract,32,16,0.4863445512453715,0.0049447713503392105,4.446666666666666,0.054781785266794204
32,Abstract,32,32,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
33,Abstract,32,64,0.5126884633302689,0.0021783640734091302,4.12,0.028252615645772354
34,Abstract,32,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
35,Abstract,64,8,0.38504466871420545,0.013670127006426077,5.526666666666666,0.1257449094478608
36,Abstract,64,16,0.49452525794506075,0.003988244359557917,4.366666666666666,0.05468368807956898
37,Abstract,64,32,0.5170093691349029,0.00188892439063908,4.066666666666666,0.02619265512886157
38,Abstract,64,64,0.5164208072423935,0.0018943524524939568,4.073333333333333,0.025200168080591886
39,Abstract,64,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
