,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.1467562405268351,0.01555601601994551,7.3,0.09999999999999999
1,Ground,8,16,0.27006752252578736,0.017470579391093834,6.36,0.13117264952002347
2,Ground,8,32,0.39277734378973644,0.012940062775345483,5.486666666666666,0.12360602298722087
3,Ground,8,64,0.47755224724610645,0.0064745498248694935,4.56,0.07295611748372974
4,Ground,8,128,0.5082918661832809,0.00281374536149083,4.18,0.03792138341240354
5,Ground,16,8,0.16439964016278585,0.01624558244026446,7.153333333333333,0.10816205699873851
6,Ground,16,16,0.30746070424715677,0.015710258887019213,6.24,0.1278561831880584
7,Ground,16,32,0.3882804354031881,0.012348789926997188,5.613333333333333,0.12577692929677478
8,Ground,16,64,0.501073825955391,0.0032630787787074167,4.273333333333333,0.04324289305942819
9,Ground,16,128,0.5184305310249329,0.001491523440432463,4.046666666666667,0.019699456985365613
10,Ground,32,8,0.16904688874880472,0.015883905467724873,7.193333333333333,0.10435555580963125
11,Ground,32,16,0.29061714947223666,0.015847635518882058,6.346666666666667,0.120024854497895
12,Ground,32,32,0.4214223506053289,0.011445951345178854,5.173333333333333,0.11222646753290529
13,Ground,32,64,0.49191350797812144,0.005302137506829958,4.386666666666667,0.06330683538460223
14,Ground,32,128,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
15,Ground,64,8,0.1458427067597707,0.016399933022723738,7.213333333333333,0.11295766135487277
16,Ground,64,16,0.2671335875988007,0.016755252385933974,6.493333333333333,0.12787951077736892
17,Ground,64,32,0.38851944645245867,0.013959731218143192,5.446666666666666,0.12533147697230596
18,Ground,64,64,0.49802008986473084,0.0034297545191873807,4.3133333333333335,0.04550159587797122
19,Ground,64,128,0.514332782626152,0.0021213303694845444,4.1,0.027982097184870446
20,Abstract,8,8,0.3556666572888692,0.014039074258418152,5.866666666666666,0.12644393463317355
21,Abstract,8,16,0.46631221373875936,0.006988649083962284,4.726666666666667,0.08508275569660204
22,Abstract,8,32,0.5027064001560211,0.003236900997560987,4.253333333333333,0.04354191754099612
23,Abstract,8,64,0.5147764879465103,0.001969742201530845,4.093333333333334,0.025640199608102238
24,Abstract,8,128,0.5146981871128082,0.0018660185677187567,4.093333333333334,0.02383137380283291
25,Abstract,16,8,0.37699961682160693,0.014424996240078857,5.533333333333333,0.1243026783856262
26,Abstract,16,16,0.4923589324951172,0.003972726516740316,4.3933333333333335,0.05425655078886648
27,Abstract,16,32,0.515820500254631,0.0018507420011994065,4.08,0.024154610122223037
28,Abstract,16,64,0.515820500254631,0.0018507420011994065,4.08,0.024154610122223037
29,Abstract,16,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
30,Abstract,32,8,0.3625901353359222,0.014290560688539596,5.72,0.12301943245124486
31,Abstract,32,16,0.49428121984004975,0.004137168031916484,4.373333333333333,0.05796447779507016
32,Abstract,32,32,0.5184305310249329,0.001491523440432463,4.046666666666667,0.019699456985365613
33,Abstract,32,64,0.5144110834598541,0.0022132070912083256,4.1,0.029537826959282396
34,Abstract,32,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
35,Abstract,64,8,0.3677374416589737,0.015188151740670865,5.566666666666666,0.12564523995615223
36,Abstract,64,16,0.4996552735567093,0.0037828749103367794,4.3,0.05245643766354129
37,Abstract,64,32,0.5157421994209289,0.0017402540576619697,4.08,0.022225204870678333
38,Abstract,64,64,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
39,Abstract,64,128,0.5185088318586349,0.001618202230412409,4.046666666666667,0.021853010413470392
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
