,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.29845224718252816,0.015884804235961475,6.293333333333333,0.12640146498551635
1,Ground,8,16,0.4053306605418523,0.011273766523524097,5.406666666666666,0.11276340445393514
2,Ground,8,32,0.46911403874556223,0.00623879302336122,4.706666666666667,0.08057215236984377
3,Ground,8,64,0.5101567333936692,0.002479399298289959,4.153333333333333,0.03240773054773024
4,Ground,8,128,0.5188742363452912,0.0012570118159056457,4.04,0.01605360149017563
5,Ground,16,8,0.3132158452272415,0.0157398433030462,6.18,0.12972867917828454
6,Ground,16,16,0.4061463602383931,0.011457430239573194,5.406666666666666,0.1174283223391932
7,Ground,16,32,0.4854897874593735,0.0045922435488393995,4.493333333333333,0.06467725183783365
8,Ground,16,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
9,Ground,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931735
10,Ground,32,8,0.34511430104573565,0.014375207188302593,5.94,0.12414540078840114
11,Ground,32,16,0.4121988701820374,0.01157035462461706,5.273333333333333,0.10986942287109883
12,Ground,32,32,0.47844398657480874,0.0056500180932056885,4.566666666666666,0.06913765192890993
13,Ground,32,64,0.5157421994209289,0.0017402540576619695,4.08,0.02222520487067834
14,Ground,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
15,Ground,64,8,0.3240735318263372,0.015292405552392122,6.12,0.12898502419011437
16,Ground,64,16,0.4045023230711619,0.011803042311334201,5.36,0.11043132843435458
17,Ground,64,32,0.4824843148390452,0.005376592194106495,4.506666666666667,0.0632785586756573
18,Ground,64,64,0.5175313752889633,0.0018239790615738247,4.06,0.025435798901780386
19,Ground,64,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
20,Abstract,8,8,0.37289545357227327,0.012928696056318289,5.72,0.11970134348915895
21,Abstract,8,16,0.47628507753213245,0.00638036977740855,4.573333333333333,0.0710085016598655
22,Abstract,8,32,0.5126101624965668,0.002084518275201161,4.12,0.02662188633840144
23,Abstract,8,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
24,Abstract,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
25,Abstract,16,8,0.35605713884035745,0.015103630190713839,5.713333333333333,0.12454361128179603
26,Abstract,16,16,0.4943021005392075,0.003851106528824387,4.366666666666666,0.05217134621748483
27,Abstract,16,32,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
28,Abstract,16,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
30,Abstract,32,8,0.37447138905525207,0.013817810357687569,5.62,0.12212510547395491
31,Abstract,32,16,0.4953343677520752,0.003805372737123148,4.3533333333333335,0.0519306599008046
32,Abstract,32,32,0.5179085248708725,0.001572284360056932,4.053333333333334,0.020696305513161248
33,Abstract,32,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
34,Abstract,32,128,0.5220062732696533,0.0,4.0,0.0
35,Abstract,64,8,0.3809121421972911,0.012672815141606836,5.66,0.12181696762680358
36,Abstract,64,16,0.485810364484787,0.004502768558379186,4.486666666666666,0.06256033627522714
37,Abstract,64,32,0.5142544817924499,0.002025269648427607,4.1,0.026334621779143877
38,Abstract,64,64,0.5220062732696533,0.0,4.0,0.0
39,Abstract,64,128,0.5220062732696533,0.0,4.0,0.0
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
