,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.2590437293052673,0.016940416796406014,6.54,0.12783868470258794
1,Ground,8,16,0.3945109059413274,0.011513646941169225,5.593333333333334,0.12228132256958195
2,Ground,8,32,0.4742980174223582,0.006046096290912704,4.633333333333334,0.07767117441383745
3,Ground,8,64,0.5106787395477295,0.0024401434693399992,4.1466666666666665,0.03192085664169661
4,Ground,8,128,0.5189525371789933,0.0014048304695740636,4.04,0.018633399566862312
5,Ground,16,8,0.35412330249945323,0.013786272008698579,5.92,0.12639202534807473
6,Ground,16,16,0.4087402323881785,0.00983036088224496,5.453333333333333,0.10851310157773296
7,Ground,16,32,0.492816601395607,0.004169990846692432,4.3933333333333335,0.0597509122423723
8,Ground,16,64,0.5173865187168122,0.0016479855748167572,4.06,0.021633514475134667
9,Ground,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
10,Ground,32,8,0.3122286876042684,0.01599353470170408,6.126666666666667,0.12666666666666665
11,Ground,32,16,0.41846736053625744,0.011094176629784853,5.24,0.11139947666146115
12,Ground,32,32,0.4753211490313212,0.006240810389980923,4.626666666666667,0.08167522668921877
13,Ground,32,64,0.5157421994209289,0.0017402540576619697,4.08,0.02222520487067834
14,Ground,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
15,Ground,64,8,0.2930893490711848,0.016292532180745705,6.293333333333333,0.12640146498551635
16,Ground,64,16,0.417271640698115,0.010217189636862491,5.346666666666667,0.11585173996318802
17,Ground,64,32,0.47680625716845193,0.0060000826871771705,4.6,0.07743078023027633
18,Ground,64,64,0.5193962424993515,0.0011514669897256418,4.033333333333333,0.014705663024201157
19,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
20,Abstract,8,8,0.3563660796483358,0.014772101992428309,5.773333333333333,0.12731846897790772
21,Abstract,8,16,0.47721688012282054,0.005987255478997674,4.593333333333334,0.07632303106430362
22,Abstract,8,32,0.5179085248708725,0.001572284360056932,4.053333333333334,0.020696305513161248
23,Abstract,8,64,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
24,Abstract,8,128,0.5162642055749893,0.0016721923471551803,4.073333333333333,0.021355972327761884
25,Abstract,16,8,0.3859106993675232,0.013253953602486405,5.526666666666666,0.12066062253887577
26,Abstract,16,16,0.49273869156837463,0.004207799037949924,4.3933333333333335,0.0582340158032204
27,Abstract,16,32,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
28,Abstract,16,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
29,Abstract,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
30,Abstract,32,8,0.36839882493019105,0.01386613982864995,5.726666666666667,0.12687842889795029
31,Abstract,32,16,0.49275348166624705,0.0049551286154247524,4.366666666666666,0.055495866518116194
32,Abstract,32,32,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
33,Abstract,32,64,0.5220062732696533,0.0,4.0,0.0
34,Abstract,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
35,Abstract,64,8,0.37225110054016114,0.013775508144363005,5.653333333333333,0.12187449688226713
36,Abstract,64,16,0.4947623789310455,0.004367572100315468,4.373333333333333,0.06313698516991455
37,Abstract,64,32,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
38,Abstract,64,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
39,Abstract,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
40,LLM,8,8,0.4422804377476374,0.008876272068947352,5.046666666666667,0.10632635870893571
41,LLM,8,16,0.50069928586483,0.003750654165704469,4.286666666666667,0.05210269215170777
42,LLM,8,32,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
43,LLM,8,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
44,LLM,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
45,LLM,16,8,0.44031852026780444,0.010299383547956401,4.966666666666667,0.10380530160503583
46,LLM,16,16,0.5062821424007415,0.0030012646957530598,4.206666666666667,0.04046338601446259
47,LLM,16,32,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
48,LLM,16,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
49,LLM,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
50,LLM,32,8,0.4559260723988215,0.008497687002202672,4.84,0.09743006440347061
51,LLM,32,16,0.5087473165988922,0.002741042037518122,4.173333333333333,0.03632646734378866
52,LLM,32,32,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
53,LLM,32,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
54,LLM,32,128,0.5220062732696533,0.0,4.0,0.0
55,LLM,64,8,0.4512370653947194,0.007260916566206659,4.94,0.09035351896446396
56,LLM,64,16,0.5119459092617035,0.0025651463223109127,4.133333333333334,0.03497095844236086
57,LLM,64,32,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
58,LLM,64,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
59,LLM,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
