,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.2874752593040466,0.016429715064885,6.326666666666667,0.12673729339135753
1,Ground,8,16,0.40368540585041046,0.011385412025924866,5.3933333333333335,0.10864084731899604
2,Ground,8,32,0.4669533677895864,0.006883119084546025,4.713333333333333,0.08210685822170719
3,Ground,8,64,0.5136541748046874,0.0019801353606636895,4.1066666666666665,0.02528878692663471
4,Ground,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
5,Ground,16,8,0.3129770050446192,0.01599482962680669,6.16,0.1314452446800313
6,Ground,16,16,0.4025879063208898,0.01334124183345838,5.3133333333333335,0.12229595769162062
7,Ground,16,32,0.48282977402210236,0.005063247218131499,4.54,0.07365801623519803
8,Ground,16,64,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201157
9,Ground,16,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
10,Ground,32,8,0.3443348375956217,0.014101314089715163,5.98,0.123871189500896
11,Ground,32,16,0.420357893705368,0.010675144643412602,5.233333333333333,0.10926505206735196
12,Ground,32,32,0.4899411952495575,0.00439543197464276,4.433333333333334,0.06233105428366624
13,Ground,32,64,0.5193962424993515,0.001151466989725642,4.033333333333333,0.014705663024201157
14,Ground,32,128,0.5220062732696533,0.0,4.0,0.0
15,Ground,64,8,0.3030693922440211,0.01614094925865724,6.226666666666667,0.12975511840836676
16,Ground,64,16,0.4047460339466731,0.012140818712649047,5.38,0.1195330212817102
17,Ground,64,32,0.4806617293755213,0.0060840820183260935,4.553333333333334,0.07944813380877641
18,Ground,64,64,0.5185088318586349,0.001618202230412409,4.046666666666667,0.021853010413470392
19,Ground,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
20,Abstract,8,8,0.368210511803627,0.013808913034111603,5.726666666666667,0.12617117262824448
21,Abstract,8,16,0.48142422874768576,0.006156541865660147,4.5,0.06604858898858136
22,Abstract,8,32,0.5138107764720917,0.0021722721728791644,4.1066666666666665,0.028609328224316652
23,Abstract,8,64,0.5188742363452912,0.0012570118159056457,4.04,0.016053601490175626
24,Abstract,8,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
25,Abstract,16,8,0.3880187781651815,0.013089937037920924,5.526666666666666,0.12213487489624311
26,Abstract,16,16,0.49154721319675443,0.0038111711958990456,4.4,0.05094191103380679
27,Abstract,16,32,0.5188742363452912,0.0012570118159056457,4.04,0.01605360149017563
28,Abstract,16,64,0.5188742363452912,0.0012570118159056455,4.04,0.01605360149017563
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
30,Abstract,32,8,0.38705091377099354,0.013028462703991986,5.54,0.1221104498750213
31,Abstract,32,16,0.4943686562776566,0.0038817166144100427,4.366666666666666,0.053022022073452114
32,Abstract,32,32,0.5184305310249329,0.001491523440432463,4.046666666666667,0.019699456985365613
33,Abstract,32,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
34,Abstract,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
35,Abstract,64,8,0.37735001524289447,0.013012914750055818,5.7,0.1268266974484565
36,Abstract,64,16,0.48712973535060883,0.004328095092741973,4.466666666666667,0.06032474879290974
37,Abstract,64,32,0.5193962424993515,0.0011514669897256418,4.033333333333333,0.014705663024201157
38,Abstract,64,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
39,Abstract,64,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931735
40,LLM,8,8,0.36422099033991495,0.014796120492002001,5.6866666666666665,0.129406377122498
41,LLM,8,16,0.47855708658695223,0.007166698426226961,4.526666666666666,0.07490287023987474
42,LLM,8,32,0.5183522301912308,0.0013530053926830159,4.046666666666667,0.0172795586432436
43,LLM,8,64,0.5163425064086914,0.0017867401539860496,4.073333333333333,0.023357290353915344
44,LLM,8,128,0.5188742363452912,0.0012570118159056455,4.04,0.016053601490175626
45,LLM,16,8,0.3736013780037562,0.014142993508990799,5.613333333333333,0.12470517057238224
46,LLM,16,16,0.49441870272159577,0.004505606899028772,4.38,0.06462419325196687
47,LLM,16,32,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
48,LLM,16,64,0.5220062732696533,0.0,4.0,0.0
49,LLM,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
50,LLM,32,8,0.3705446390310923,0.014953636474198964,5.593333333333334,0.1304257926848236
51,LLM,32,16,0.4897654747962952,0.00456249978049918,4.44,0.06586543124854681
52,LLM,32,32,0.5173082178831101,0.00152339771512503,4.06,0.019455680145728283
53,LLM,32,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
54,LLM,32,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
55,LLM,64,8,0.386254093448321,0.012835936652923714,5.586666666666667,0.12484860331990959
56,LLM,64,16,0.4849038350582123,0.004848804637411384,4.506666666666667,0.06870269031830128
57,LLM,64,32,0.5162642055749893,0.0016721923471551797,4.073333333333333,0.021355972327761884
58,LLM,64,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
59,LLM,64,128,0.5220062732696533,0.0,4.0,0.0
