,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.28146648744742075,0.017046409808935504,6.32,0.1311862927307858
1,Ground,8,16,0.4158764034509659,0.011731964319707843,5.226666666666667,0.111987002548271
2,Ground,8,32,0.46998233060042066,0.006368493932756827,4.7,0.08341159635901255
3,Ground,8,64,0.5112007457017899,0.0023994836594502765,4.14,0.0314169477909793
4,Ground,8,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
5,Ground,8,256,0.5220062732696533,0.0,4.0,0.0
6,Ground,8,513,0.5220062732696533,0.0,4.0,0.0
7,Ground,16,8,0.3058977735042572,0.016176700835631122,6.22,0.13239152834877121
8,Ground,16,16,0.4163101917505264,0.010776132499201372,5.3,0.11262576862507649
9,Ground,16,32,0.4865220546722412,0.004567345380823137,4.48,0.06465880161585282
10,Ground,16,64,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
11,Ground,16,128,0.5220062732696533,0.0,4.0,0.0
12,Ground,16,256,0.5220062732696533,0.0,4.0,0.0
13,Ground,16,513,0.5220062732696533,0.0,4.0,0.0
14,Ground,32,8,0.3331347133715947,0.014815392015643346,6.053333333333334,0.12683963228882683
15,Ground,32,16,0.4271878657738368,0.01113578451324096,5.113333333333333,0.11012974518966545
16,Ground,32,32,0.4821589308977127,0.004793850535302886,4.54,0.06731009411354989
17,Ground,32,64,0.5173082178831101,0.00152339771512503,4.06,0.01945568014572829
18,Ground,32,128,0.5220062732696533,0.0,4.0,0.0
19,Ground,32,256,0.5220062732696533,0.0,4.0,0.0
20,Ground,32,513,0.5220062732696533,0.0,4.0,0.0
21,Ground,64,8,0.3072356977065404,0.016389685243792494,6.12,0.1272387880021635
22,Ground,64,16,0.437654136021932,0.00915618761809442,5.08,0.10384983135294824
23,Ground,64,32,0.48063950181007387,0.00479074028903358,4.56,0.06787275896407906
24,Ground,64,64,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
25,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
26,Ground,64,256,0.5220062732696533,0.0,4.0,0.0
27,Ground,64,513,0.5220062732696533,0.0,4.0,0.0
