,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.26122090955575306,0.016721493406743487,6.52,0.12396145753023452
1,Ground,8,16,0.3203398380676905,0.01620434118068247,6.04,0.1317172756926124
2,Ground,8,32,0.44458590149879457,0.007877823165924775,5.013333333333334,0.09411624335488741
3,Ground,8,64,0.5074710112810135,0.003050015084513751,4.193333333333333,0.04198291616614515
4,Ground,8,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
5,Ground,16,8,0.26828363180160525,0.01682107671922934,6.473333333333334,0.12751160553108717
6,Ground,16,16,0.3372272855043411,0.015289847920025289,5.973333333333334,0.1317399195882726
7,Ground,16,32,0.46028915405273435,0.006104124359553014,4.866666666666666,0.09056949655479714
8,Ground,16,64,0.5178302240371704,0.0014413573083509078,4.053333333333334,0.018407922296694253
9,Ground,16,128,0.5220062732696533,0.0,4.0,0.0
10,Ground,32,8,0.2671687801678975,0.016416134562602883,6.506666666666667,0.12251892669079573
11,Ground,32,16,0.3250256490707397,0.016084600466954112,5.986666666666666,0.1293545036756673
12,Ground,32,32,0.4600042027235031,0.00785674108655163,4.8,0.09220151066133712
13,Ground,32,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
14,Ground,32,128,0.5220062732696533,0.0,4.0,0.0
15,Ground,64,8,0.2668785647551219,0.017523912130054043,6.386666666666667,0.13236336221542733
16,Ground,64,16,0.279215268890063,0.017608597447499652,6.28,0.13515092235009177
17,Ground,64,32,0.4620678895711899,0.0077054596154793945,4.766666666666667,0.08945105602680281
18,Ground,64,64,0.5199965494871139,0.0012084654853263621,4.026666666666666,0.016238344067245097
19,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
20,Abstract,8,8,0.40078648606936135,0.012687619960844923,5.34,0.11265754566418668
21,Abstract,8,16,0.49686691284179685,0.003703518904601784,4.333333333333333,0.051524123206367484
22,Abstract,8,32,0.5132887703180313,0.002221223235075043,4.113333333333333,0.02921289082418483
23,Abstract,8,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
24,Abstract,8,128,0.5220062732696533,0.0,4.0,0.0
25,Abstract,16,8,0.4094192095597585,0.01111455945547844,5.333333333333333,0.10730235633419008
26,Abstract,16,16,0.4998092657327652,0.0035337291689313114,4.293333333333333,0.04781270942646398
27,Abstract,16,32,0.5188742363452912,0.0012570118159056457,4.04,0.01605360149017563
28,Abstract,16,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
30,Abstract,32,8,0.40676893989245094,0.011279243110677533,5.433333333333334,0.12092731437384358
31,Abstract,32,16,0.5021652752161025,0.003600355184930296,4.266666666666667,0.05064829526817226
32,Abstract,32,32,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201161
33,Abstract,32,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
34,Abstract,32,128,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
35,Abstract,64,8,0.4093309231599172,0.012408907397073426,5.28,0.116672738736201
36,Abstract,64,16,0.5059806841611862,0.002749675160832934,4.206666666666667,0.0357679154173612
37,Abstract,64,32,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556985
38,Abstract,64,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
39,Abstract,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
40,LLM,8,8,0.3892154562473297,0.013229732516267292,5.473333333333334,0.11954300253728833
41,LLM,8,16,0.48128326535224913,0.004900490701531941,4.553333333333334,0.0685657911109008
42,LLM,8,32,0.5173082178831101,0.0015233977151250298,4.06,0.019455680145728283
43,LLM,8,64,0.5193962424993515,0.0011514669897256416,4.033333333333333,0.014705663024201157
44,LLM,8,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
45,LLM,16,8,0.4014122196038564,0.012417494774345091,5.406666666666666,0.12154731972421355
46,LLM,16,16,0.5016741329431533,0.0033060299912751555,4.266666666666667,0.04403239265905424
47,LLM,16,32,0.5183522301912308,0.0013530053926830159,4.046666666666667,0.0172795586432436
48,LLM,16,64,0.5189525371789933,0.0014048304695740636,4.04,0.018633399566862312
49,LLM,16,128,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
50,LLM,32,8,0.4005069311459859,0.01134207404579247,5.486666666666666,0.11614103386167124
51,LLM,32,16,0.506870704293251,0.0030111710319988983,4.2,0.04123376909338428
52,LLM,32,32,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
53,LLM,32,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
54,LLM,32,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
55,LLM,64,8,0.3951428371667862,0.012557220306230214,5.466666666666667,0.11915686901416452
56,LLM,64,16,0.5093358784914017,0.002748344481998843,4.166666666666667,0.0371425293558481
57,LLM,64,32,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
58,LLM,64,64,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
59,LLM,64,128,0.5220062732696533,0.0,4.0,0.0
