,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.24270832538604736,0.017115121402929603,6.626666666666667,0.12497755204848915
1,Ground,8,16,0.2953876562913259,0.01610650218178813,6.326666666666667,0.12987575086860448
2,Ground,8,32,0.4345776911576589,0.010291058357450221,5.046666666666667,0.10377081383810871
3,Ground,8,64,0.5115661501884461,0.0021805656317483036,4.133333333333334,0.02784853032589787
4,Ground,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
5,Ground,8,256,0.5220062732696533,0.0,4.0,0.0
6,Ground,8,513,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
7,Ground,16,8,0.24119037608305613,0.016670280360116,6.713333333333333,0.12346114666271404
8,Ground,16,16,0.33548382739226024,0.015610072472415398,5.986666666666666,0.13609664504842775
9,Ground,16,32,0.4638901478052139,0.00779259853522958,4.746666666666667,0.09180597508819408
10,Ground,16,64,0.5179085248708725,0.0015722843600569322,4.053333333333334,0.020696305513161248
11,Ground,16,128,0.5220062732696533,0.0,4.0,0.0
12,Ground,16,256,0.5220062732696533,0.0,4.0,0.0
13,Ground,16,513,0.5220062732696533,0.0,4.0,0.0
14,Ground,32,8,0.24231196979681652,0.017837601256748138,6.52,0.1296079098312589
15,Ground,32,16,0.3354641004403432,0.015545595717703474,5.933333333333334,0.1285495288097009
16,Ground,32,32,0.45186047156651815,0.0072832223638795695,4.933333333333334,0.0915521961692638
17,Ground,32,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
18,Ground,32,128,0.5220062732696533,0.0,4.0,0.0
19,Ground,32,256,0.5220062732696533,0.0,4.0,0.0
20,Ground,32,513,0.5220062732696533,0.0,4.0,0.0
21,Ground,64,8,0.27847365260124207,0.016546661213546303,6.38,0.12466330493499457
22,Ground,64,16,0.31555510660012565,0.01673692151225428,5.993333333333333,0.12987575086860448
23,Ground,64,32,0.45640675326188407,0.007648470235496286,4.886666666666667,0.09900474156121655
24,Ground,64,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266568
25,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
26,Ground,64,256,0.5220062732696533,0.0,4.0,0.0
27,Ground,64,513,0.5220062732696533,0.0,4.0,0.0
28,Ground,128,8,0.23203166604042053,0.017091050617246178,6.72,0.12482470930745754
29,Ground,128,16,0.3349947526057561,0.01474914400244203,6.013333333333334,0.12369648452308829
30,Ground,128,32,0.4519305721918742,0.007161059815010084,4.973333333333334,0.09918985779622128
31,Ground,128,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
32,Ground,128,128,0.5220062732696533,0.0,4.0,0.0
33,Ground,128,256,0.5220062732696533,0.0,4.0,0.0
34,Ground,128,513,0.5220062732696533,0.0,4.0,0.0
35,Abstract,8,8,0.4102854339281718,0.012201310485814387,5.3,0.11993659771744318
36,Abstract,8,16,0.49272522727648416,0.005419059073911329,4.38,0.0659943730229594
37,Abstract,8,32,0.5141761809587478,0.0019243984685113347,4.1,0.024576957615571212
38,Abstract,8,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
39,Abstract,8,128,0.5194745433330535,0.001311029188665231,4.033333333333333,0.017485479221180433
