,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.2614566385746002,0.01692204555722537,6.486666666666666,0.1246872298776274
1,Ground,8,16,0.28262399315834047,0.01681607987474913,6.32,0.1277301405867764
2,Ground,8,32,0.4370650718609492,0.011091642262337543,4.966666666666667,0.10593851015743674
3,Ground,8,64,0.5116444510221482,0.002270686536415729,4.133333333333334,0.029411326048402322
4,Ground,8,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
5,Ground,16,8,0.24952113966147105,0.01654679213975151,6.66,0.12291391287250049
6,Ground,16,16,0.3412910612424215,0.015064271706331945,5.926666666666667,0.12835098225485744
7,Ground,16,32,0.4498755637804667,0.008455873397987304,4.92,0.09624725801608694
8,Ground,16,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
9,Ground,16,128,0.5220062732696533,0.0,4.0,0.0
10,Ground,32,8,0.2575037016471227,0.01716969716821153,6.5,0.1268266974484565
11,Ground,32,16,0.3412449741363525,0.013676598556133209,6.046666666666667,0.11940818519067048
12,Ground,32,32,0.45135758181413016,0.009032226836892008,4.88,0.09827141340955825
13,Ground,32,64,0.5205185556411743,0.0010946791928790297,4.02,0.014867046874683931
14,Ground,32,128,0.5220062732696533,0.0,4.0,0.0
15,Ground,64,8,0.26742229918638866,0.017577535400534913,6.38,0.1329984609084889
16,Ground,64,16,0.32300383190313975,0.016303895710275438,6.0,0.13277287127555898
17,Ground,64,32,0.4733562527100245,0.006252476741522391,4.653333333333333,0.08246030387488247
18,Ground,64,64,0.5220062732696533,0.0,4.0,0.0
19,Ground,64,128,0.5220062732696533,0.0,4.0,0.0
20,Abstract,8,8,0.4160743965705236,0.011454931728273023,5.253333333333333,0.1135896561863926
21,Abstract,8,16,0.49467011451721193,0.00406959301312366,4.366666666666666,0.05629632900296026
22,Abstract,8,32,0.5163425064086914,0.0017867401539860494,4.073333333333333,0.023357290353915344
23,Abstract,8,64,0.5183522301912308,0.0013530053926830163,4.046666666666667,0.0172795586432436
24,Abstract,8,128,0.5204402548074722,0.0008980526186386228,4.02,0.011469246887266565
25,Abstract,16,8,0.3930183362960815,0.013504106188608126,5.433333333333334,0.12528863023046466
26,Abstract,16,16,0.505316430926323,0.0031203146118191647,4.22,0.042167239210550905
27,Abstract,16,32,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
28,Abstract,16,64,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931735
29,Abstract,16,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666666
30,Abstract,32,8,0.38509652157624563,0.013982797318154267,5.506666666666667,0.12892488375987832
31,Abstract,32,16,0.505328176021576,0.003149163484855599,4.22,0.0421672392105509
32,Abstract,32,32,0.5188742363452912,0.0012570118159056455,4.04,0.016053601490175626
33,Abstract,32,64,0.5199182486534119,0.0010334486740683306,4.026666666666666,0.013198422611556987
34,Abstract,32,128,0.5209622609615326,0.0007357467364236973,4.013333333333334,0.009396399265931733
35,Abstract,64,8,0.40634778936704,0.0115013734216393,5.406666666666666,0.11856587731399111
36,Abstract,64,16,0.5051407104730606,0.0033569644460309757,4.226666666666667,0.047436915996450356
37,Abstract,64,32,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
38,Abstract,64,64,0.5204402548074722,0.0008980526186386227,4.02,0.011469246887266565
39,Abstract,64,128,0.5214842671155929,0.0005220061540603637,4.006666666666667,0.006666666666666665
40,LLM,8,8,0.0,0.0,8.0,0.0
41,LLM,8,16,0.0,0.0,8.0,0.0
42,LLM,8,32,0.0,0.0,8.0,0.0
43,LLM,8,64,0.0,0.0,8.0,0.0
44,LLM,8,128,0.0,0.0,8.0,0.0
45,LLM,16,8,0.0,0.0,8.0,0.0
46,LLM,16,16,0.0,0.0,8.0,0.0
47,LLM,16,32,0.0,0.0,8.0,0.0
48,LLM,16,64,0.0,0.0,8.0,0.0
49,LLM,16,128,0.0,0.0,8.0,0.0
50,LLM,32,8,0.0,0.0,8.0,0.0
51,LLM,32,16,0.0,0.0,8.0,0.0
52,LLM,32,32,0.0,0.0,8.0,0.0
53,LLM,32,64,0.0,0.0,8.0,0.0
54,LLM,32,128,0.0,0.0,8.0,0.0
55,LLM,64,8,0.0,0.0,8.0,0.0
56,LLM,64,16,0.0,0.0,8.0,0.0
57,LLM,64,32,0.0,0.0,8.0,0.0
58,LLM,64,64,0.0,0.0,8.0,0.0
59,LLM,64,128,0.0,0.0,8.0,0.0
