,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.002659735083580017,0.0018988878430613396,11.973333333333333,0.021039361569976038
1,Ground,8,16,0.011895371377468109,0.003961699348656312,11.886666666666667,0.04589323927211281
2,Ground,8,32,0.023947652280330658,0.005084545511422507,11.82,0.048299957619445874
3,Ground,8,64,0.02649294098218282,0.005857436356360613,11.72,0.07334756827470207
4,Ground,8,128,0.054985259175300595,0.007433065537173169,11.48,0.08707013296011024
5,Ground,8,256,0.06397359887758891,0.007888585132236522,11.373333333333333,0.09579371323786644
6,Ground,8,512,0.12646732379992803,0.008705569550228496,10.686666666666667,0.12082367083174869
7,Ground,8,1024,0.1535876285036405,0.008591104916727817,10.286666666666667,0.13016481263735877
8,Ground,16,8,0.009911424318949381,0.003509348362990517,11.92,0.03726679913372462
9,Ground,16,16,0.013686781227588653,0.004077231094161739,11.886666666666667,0.04286878858853456
10,Ground,16,32,0.020797229607899984,0.004714299217196673,11.866666666666667,0.043004257285391624
11,Ground,16,64,0.029224908749262493,0.005791109346269298,11.746666666666666,0.06498092417844074
12,Ground,16,128,0.07418655693531036,0.00825026119369498,11.253333333333334,0.10240362596115699
13,Ground,16,256,0.07644966959953309,0.00852716535873868,11.24,0.11378381322545521
14,Ground,16,512,0.14143340309460958,0.008748498930757883,10.413333333333334,0.12376880614715978
15,Ground,16,1024,0.15175577680269878,0.00879575610939999,10.253333333333334,0.13011324156336576
16,Ground,32,8,0.0050256570180257166,0.002587938917641075,11.96,0.029734093749367863
17,Ground,32,16,0.02051562209924062,0.0049576440163107815,11.813333333333333,0.05383433587973599
18,Ground,32,32,0.019070525070031485,0.004802613592323599,11.833333333333334,0.053022022073452114
19,Ground,32,64,0.040514840483665465,0.0069192869473215166,11.56,0.08486335904954659
20,Ground,32,128,0.08023655106623967,0.008409322339563628,11.22,0.10738710840438037
21,Ground,32,256,0.08108493914206823,0.00825812226563518,11.246666666666666,0.10316541165800314
22,Ground,32,512,0.13827845007181166,0.008890796214051337,10.473333333333333,0.12925415598030288
23,Ground,32,1024,0.16830124507347743,0.008024060148042288,10.113333333333333,0.1281556194201544
24,Ground,64,8,0.015018340448538463,0.004485128276470022,11.846666666666666,0.054124445772005564
25,Ground,64,16,0.016626295745372773,0.004604035035862067,11.86,0.05436639309340447
26,Ground,64,32,0.014023545384407043,0.004219179416256117,11.88,0.048160804470526876
27,Ground,64,64,0.019526038467884064,0.00473145486489065,11.846666666666666,0.047990180452212754
28,Ground,64,128,0.069055910607179,0.008034216040536042,11.38,0.10261458919173637
29,Ground,64,256,0.08996373822291692,0.008724138514977333,11.046666666666667,0.11206288849071722
30,Ground,64,512,0.13297577212254205,0.008715021853465489,10.606666666666667,0.12474463101847062
31,Ground,64,1024,0.1820069752136866,0.008104090624240142,9.786666666666667,0.12956187284979334
32,Ground,128,8,0.00577706108490626,0.0026583781737611013,11.966666666666667,0.027443929686894505
33,Ground,128,16,0.01648640602827072,0.004524287568177222,11.86,0.05096825348719215
34,Ground,128,32,0.023665613134702047,0.005188627643703724,11.8,0.05351200496725208
35,Ground,128,64,0.027024070421854656,0.005830868036766469,11.733333333333333,0.07120984942222017
36,Ground,128,128,0.06293567061424256,0.007927573250894132,11.386666666666667,0.09911765844821259
37,Ground,128,256,0.09658939152956009,0.008934589434158292,10.966666666666667,0.11943815775211242
38,Ground,128,512,0.1356881328423818,0.008552476252903052,10.56,0.11908675611076297
39,Ground,128,1024,0.17438867310682932,0.007634721748518993,10.066666666666666,0.12644393463317358
40,Ground,256,8,0.017913598120212555,0.004532886600200429,11.873333333333333,0.046628299984379215
41,Ground,256,16,0.016527711153030394,0.004691722978617574,11.826666666666666,0.056557995549275146
42,Ground,256,32,0.025182704428831738,0.0055256257020637875,11.753333333333334,0.06341276074423088
43,Ground,256,64,0.04418009916941325,0.007336427206373245,11.52,0.09587463850635805
44,Ground,256,128,0.060532780786355336,0.007623602252040224,11.46,0.09153427494623467
45,Ground,256,256,0.0794786078731219,0.008031809651777971,11.286666666666667,0.0961619935743994
46,Ground,256,512,0.14269528408845267,0.008758906866640496,10.413333333333334,0.12698065404859904
47,Ground,256,1024,0.1657270719607671,0.008494472685285555,10.053333333333333,0.13066228363191704
48,Ground,512,8,0.010981835424900055,0.0038877878562607058,11.886666666666667,0.046858028869131645
49,Ground,512,16,0.014564655125141143,0.00411986107398838,11.886666666666667,0.04072790343023468
50,Ground,512,32,0.02570428520441055,0.005668833561637517,11.74,0.06717701748256132
51,Ground,512,64,0.03874776124954224,0.006860997550597412,11.6,0.08669935711116854
52,Ground,512,128,0.05589248200257619,0.007633276837334326,11.466666666666667,0.09538180273154395
53,Ground,512,256,0.08601134151220322,0.008640070629312033,11.126666666666667,0.11323854438475149
54,Ground,512,512,0.13704900662104288,0.009132116319145445,10.426666666666666,0.1311953874164171
55,Ground,512,1024,0.1729617648323377,0.007728492204417063,10.086666666666666,0.12829519465829048
56,Abstract,8,8,0.01690760850906372,0.004574484918843065,11.84,0.05012735458661618
57,Abstract,8,16,0.01841380000114441,0.005026115333109151,11.8,0.06345743169703524
58,Abstract,8,32,0.028015913764635723,0.0057959399607933676,11.72,0.06629876112771152
59,Abstract,8,64,0.027916749715805055,0.005509273144429104,11.786666666666667,0.057218656448633304
60,Abstract,8,128,0.06982878516117731,0.008157495833867573,11.313333333333333,0.10281786710331466
61,Abstract,8,256,0.11732588956753413,0.009236771020579777,10.66,0.12650171763165272
62,Abstract,8,512,0.17436297883590063,0.008160927950987554,9.966666666666667,0.13155979294624803
63,Abstract,8,1024,0.21676363537708918,0.005414389908377133,9.34,0.11225968615876908
64,Abstract,16,8,0.012942666113376617,0.004114482455665981,11.886666666666667,0.048730337437025054
65,Abstract,16,16,0.018351354400316874,0.0046005681948972825,11.853333333333333,0.04574676591952105
66,Abstract,16,32,0.020575558543205263,0.005180001572594958,11.786666666666667,0.062452965150403814
67,Abstract,16,64,0.0350641659895579,0.006171055968993433,11.706666666666667,0.06791669240059353
68,Abstract,16,128,0.06908467004696528,0.008210398526622394,11.313333333333333,0.10539652056568435
69,Abstract,16,256,0.1179588391383489,0.009191060005058933,10.72,0.13111806248082233
70,Abstract,16,512,0.17137312193711599,0.008266320351108641,10.0,0.13209717797716272
71,Abstract,16,1024,0.22983493884404502,0.004758828607502547,9.04,0.10226954777784325
72,Abstract,32,8,0.01750118354956309,0.004978060115684834,11.8,0.0641586400744036
73,Abstract,32,16,0.030435209572315217,0.0060630728582093145,11.713333333333333,0.07286816060003104
74,Abstract,32,32,0.030011055370171864,0.005816637452864588,11.753333333333334,0.06480855763270019
75,Abstract,32,64,0.0305564679702123,0.006062325663206301,11.706666666666667,0.0723814569964412
76,Abstract,32,128,0.07806138356526693,0.008605649460179365,11.173333333333334,0.11222646753290529
77,Abstract,32,256,0.1512614674369494,0.008900566957967175,10.246666666666666,0.13275152705101864
78,Abstract,32,512,0.17344174573818844,0.00780450868184533,10.033333333333333,0.12528863023046466
79,Abstract,32,1024,0.22768408010403315,0.005150697721924691,9.046666666666667,0.10246914378867665
80,Abstract,64,8,0.01641600141922633,0.004482783787166744,11.86,0.049181215380556885
81,Abstract,64,16,0.01718964765469233,0.00445895085096924,11.86,0.044400052401363764
82,Abstract,64,32,0.04272384196519852,0.007043511140505823,11.553333333333333,0.08697587243758408
83,Abstract,64,64,0.024781484405199686,0.005670143541482615,11.746666666666666,0.07090761337544117
84,Abstract,64,128,0.07010353535413742,0.008044339190451888,11.326666666666666,0.0985336184997069
85,Abstract,64,256,0.12419028997421265,0.008645047298881471,10.773333333333333,0.12302913085738167
86,Abstract,64,512,0.16293156931797664,0.007861435329515653,10.233333333333333,0.12166505775651586
87,Abstract,64,1024,0.23403339356184005,0.004315106711029485,8.98,0.10296281990057962
88,Abstract,128,8,0.014747495849927267,0.004300820810578397,11.893333333333333,0.05018682471618635
89,Abstract,128,16,0.024009666244188946,0.005352406007977238,11.8,0.0613057033378214
90,Abstract,128,32,0.027312240501244863,0.005743326477965236,11.753333333333334,0.06751363548856573
91,Abstract,128,64,0.03277816295623779,0.006341482145882634,11.666666666666666,0.07781505445270857
92,Abstract,128,128,0.07617394357919693,0.008426326606904247,11.233333333333333,0.10844298357226799
93,Abstract,128,256,0.15060888638099035,0.008585438409580329,10.353333333333333,0.130439514012469
94,Abstract,128,512,0.16116896271705627,0.008938506788976938,10.066666666666666,0.13632001652470027
95,Abstract,128,1024,0.2243374530474345,0.005225726834173539,9.146666666666667,0.1067672903460835
96,Abstract,256,8,0.01465802828470866,0.004013783773528328,11.92,0.03726679913372461
97,Abstract,256,16,0.01680202970902125,0.004367971825854332,11.873333333333333,0.04155443497833151
98,Abstract,256,32,0.02153729130824407,0.004723990612409372,11.873333333333333,0.041554434978331514
99,Abstract,256,64,0.027953285972277322,0.005704958347392856,11.76,0.0646311164072979
100,Abstract,256,128,0.08413524389266967,0.008479828103908576,11.186666666666667,0.10966153609235883
101,Abstract,256,256,0.13994952102502187,0.008783012613712428,10.48,0.12891562889580838
102,Abstract,256,512,0.17789310574531556,0.008090693631023353,9.88,0.12933144213197872
103,Abstract,256,1024,0.22676985214153925,0.004853033483512071,9.086666666666666,0.09782267967710527
104,Abstract,512,8,0.012010067204634349,0.003788117546521031,11.913333333333334,0.03893051995596462
105,Abstract,512,16,0.032929429411888124,0.005933975608121396,11.746666666666666,0.06288134962964248
106,Abstract,512,32,0.03405369132757187,0.0061540161975182596,11.713333333333333,0.06973049215491771
107,Abstract,512,64,0.030704748332500458,0.005918077667880004,11.726666666666667,0.06614786951453881
108,Abstract,512,128,0.07499563773473104,0.008511680241777557,11.213333333333333,0.11095947893576845
109,Abstract,512,256,0.12318878551324208,0.009137099906379361,10.626666666666667,0.12815911065370886
110,Abstract,512,512,0.17373943010965984,0.007951384313103134,10.0,0.1269148633940705
111,Abstract,512,1024,0.2273593956232071,0.005428174827857456,9.04,0.1069738306663237
112,LLM,8,8,0.0050256570180257166,0.002587938917641075,11.96,0.029734093749367863
113,LLM,8,16,0.006817066868146261,0.002791302039833301,11.96,0.024812495949768348
114,LLM,8,32,0.02153338571389516,0.005056278733423056,11.813333333333333,0.05547167418456181
115,LLM,8,64,0.015279056926568349,0.004423412450028433,11.873333333333333,0.052068331172711035
116,LLM,8,128,0.010592423776785532,0.003500923304881142,11.926666666666666,0.0329009994431014
117,LLM,8,256,0.01949858486652374,0.004775479694216485,11.853333333333333,0.05128039921620446
118,LLM,8,512,0.01804003357887268,0.005140561855692477,11.786666666666667,0.06859841094073778
119,LLM,8,1024,0.016323547760645547,0.004580376344823629,11.826666666666666,0.05159354716312859
120,LLM,16,8,0.00904831051826477,0.003171705645945069,11.946666666666667,0.02639684522311397
121,LLM,16,16,0.004036505023638407,0.002365690404848243,11.96,0.028189197797795194
122,LLM,16,32,0.01491319328546524,0.004423040398953155,11.846666666666666,0.051584874278104466
123,LLM,16,64,0.011263874570528666,0.0037541521533729157,11.906666666666666,0.04051863621453781
124,LLM,16,128,0.02032082517941793,0.004969434080736377,11.826666666666666,0.056557995549275146
125,LLM,16,256,0.020018803576628368,0.004870481384761303,11.833333333333334,0.053022022073452114
126,LLM,16,512,0.020795401533444724,0.005100858879624441,11.813333333333333,0.0601167147182548
127,LLM,16,1024,0.01857775996128718,0.0046608906167069685,11.846666666666666,0.047990180452212754
128,LLM,32,8,0.001544113258520762,0.0015441132585207623,11.98,0.020000000000000007
129,LLM,32,16,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
130,LLM,32,32,0.007790539264678955,0.0032691086833731226,11.933333333333334,0.03976065604123293
131,LLM,32,64,0.015185683767000835,0.004519972471801265,11.84,0.054407526785521375
132,LLM,32,128,0.021720711489518485,0.0052814632826309535,11.78,0.06336570466714787
133,LLM,32,256,0.021642586290836333,0.0050630642734271715,11.806666666666667,0.05409136910619153
134,LLM,32,512,0.01835386355717977,0.004796448068383367,11.826666666666666,0.054953033977441834
135,LLM,32,1024,0.014619380136330922,0.004379720932067095,11.86,0.0518386759297308
136,LLM,64,8,0.00673711359500885,0.0030512788935944013,11.933333333333334,0.03622779862191886
137,LLM,64,16,0.006892682909965515,0.0028679393816878423,11.96,0.028189197797795194
138,LLM,64,32,0.014330778419971466,0.004341630557897294,11.873333333333333,0.052068331172711035
139,LLM,64,64,0.018018745283285776,0.004593029014776028,11.873333333333333,0.04942322060805209
140,LLM,64,128,0.025697280069192252,0.005483017077456563,11.766666666666667,0.06087848068806741
141,LLM,64,256,0.022270029683907826,0.005255774277262231,11.793333333333333,0.06152183851663421
142,LLM,64,512,0.026460026502609254,0.005508428727180437,11.773333333333333,0.05993782510609571
143,LLM,64,1024,0.01801145633061727,0.004527857124000307,11.866666666666667,0.04503706320236821
144,LLM,128,8,0.008680187165737152,0.003538829603855198,11.9,0.04411698907260347
145,LLM,128,16,0.004388948778311411,0.002233116293442063,11.98,0.020000000000000004
146,LLM,128,32,0.014225631256898245,0.004277346865794606,11.873333333333333,0.04942322060805209
147,LLM,128,64,0.009685018757979075,0.0034249839863433012,11.926666666666666,0.034233919187962314
148,LLM,128,128,0.025493808686733246,0.005839665531751534,11.726666666666667,0.07502224378072218
149,LLM,128,256,0.02901235471169154,0.005913444595257221,11.726666666666667,0.07008889636019607
150,LLM,128,512,0.026029309729735058,0.0051017120189604526,11.846666666666666,0.04410346455080418
151,LLM,128,1024,0.030231477816899617,0.006087920990365842,11.68,0.07224120670579032
152,LLM,256,8,0.002492391765117645,0.0018066165964731034,11.98,0.02
153,LLM,256,16,0.005193000336488088,0.002652102766989147,11.953333333333333,0.030413506164139025
154,LLM,256,32,0.012995313604672749,0.004312113678466724,11.853333333333333,0.054659136274050335
155,LLM,256,64,0.03262991696596146,0.006010798693960115,11.726666666666667,0.06682085078720136
156,LLM,256,128,0.016502517263094586,0.004464524082945347,11.853333333333333,0.04766274760566582
157,LLM,256,256,0.020419557591279346,0.00516235649254399,11.793333333333333,0.062244855796120144
158,LLM,256,512,0.019237436751524607,0.004698241505946751,11.86,0.04826288934259686
159,LLM,256,1024,0.018930203715960183,0.004587529512219867,11.866666666666667,0.04403239265905423
160,LLM,512,8,0.003012178838253021,0.0017328027979496658,11.993333333333334,0.006666666666666666
161,LLM,512,16,0.004659361739953359,0.00231244479764417,11.966666666666667,0.01748547922118043
162,LLM,512,32,0.01775759716828664,0.0045120943166511345,11.88,0.04626545331046018
163,LLM,512,64,0.01792927771806717,0.00432588078113313,11.9,0.03633057272520469
164,LLM,512,128,0.014831934173901875,0.004217954498136276,11.88,0.044289064708982286
165,LLM,512,256,0.013460375666618347,0.004006279581084954,11.893333333333333,0.040297180905907795
166,LLM,512,512,0.021547237237294514,0.005246478728156702,11.786666666666667,0.06316532525595454
167,LLM,512,1024,0.01536870668331782,0.004348594400135768,11.86,0.046371710885730735
