,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.009973620474338531,0.0034757318391266914,11.913333333333334,0.03402416126210693
1,Ground,8,16,0.010789298216501871,0.00356503224168137,11.92,0.034782803228713854
2,Ground,8,32,0.02283633331457774,0.005367793157141086,11.773333333333333,0.06356075968326524
3,Ground,8,64,0.030352304577827453,0.005979784317226575,11.706666666666667,0.06857231631824767
4,Ground,8,128,0.04846317440271378,0.007514863994030259,11.46,0.09536460118323092
5,Ground,8,256,0.0937342581152916,0.008151591768209985,11.193333333333333,0.10175052469967517
6,Ground,8,512,0.11460425307353338,0.009168425012953035,10.766666666666667,0.12984818761536407
7,Ground,8,1024,0.1683761566877365,0.008648278699473565,9.986666666666666,0.13543753496062969
8,Ground,16,8,0.007897946139176687,0.0029585045336522776,11.953333333333333,0.023812591684741514
9,Ground,16,16,0.015345590313275655,0.004168220212518361,11.893333333333333,0.040297180905907795
10,Ground,16,32,0.017659012575944266,0.0046016973011132846,11.846666666666666,0.048913626715353244
11,Ground,16,64,0.02478582163651784,0.0054951574589818765,11.773333333333333,0.0649533762689804
12,Ground,16,128,0.05449679692586263,0.007616317807185593,11.44,0.09291693627633159
13,Ground,16,256,0.08685791244109471,0.008675914717915574,11.14,0.1158684743823992
14,Ground,16,512,0.1292253706852595,0.009238302274951302,10.533333333333333,0.13232279245065398
15,Ground,16,1024,0.18785487254460653,0.0077547940045511994,9.72,0.1276600631466046
16,Ground,32,8,0.008205179174741109,0.0031346916265315213,11.946666666666667,0.031068469765534984
17,Ground,32,16,0.011976198852062225,0.004021700063866898,11.886666666666667,0.04780335059505085
18,Ground,32,32,0.02841695159673691,0.005916054651463775,11.713333333333333,0.07100220034191186
19,Ground,32,64,0.0179201606909434,0.004681119954902281,11.84,0.05188181372194211
20,Ground,32,128,0.07462716241677603,0.008132725698404465,11.306666666666667,0.10142019119829876
21,Ground,32,256,0.10289121260245641,0.008830896962879878,10.94,0.11785935576139965
