,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.01375105490287145,0.004114651813379723,11.886666666666667,0.04490772708871405
1,Ground,8,16,0.011229132016499837,0.003730156290218343,11.906666666666666,0.039398913970731225
2,Ground,8,32,0.030290108422438303,0.006000803920632856,11.713333333333333,0.07036921908604653
3,Ground,8,64,0.026739953756332396,0.005876714436341697,11.706666666666667,0.07176064282261337
4,Ground,8,128,0.05053841710090637,0.007574617046936196,11.453333333333333,0.09534426807957637
5,Ground,8,256,0.08766078412532806,0.008524120718957376,11.12,0.10823786879651105
6,Ground,8,512,0.11779210964838664,0.00909098330309469,10.706666666666667,0.12569152490625118
7,Ground,16,8,0.016438243587811787,0.004430327630874736,11.853333333333333,0.04574676591952103
8,Ground,16,16,0.012007989684740702,0.0037155448972124323,11.906666666666666,0.03323924080071931
9,Ground,16,32,0.019586406548817954,0.005092930278221836,11.786666666666667,0.06173238532135769
10,Ground,16,64,0.02742215653260549,0.005732688109953769,11.746666666666666,0.0670147512337634
11,Ground,16,128,0.06533694893121719,0.007901391850775758,11.353333333333333,0.0946613730126566
12,Ground,16,256,0.08115876148144405,0.00815680968920174,11.273333333333333,0.1009559084509463
13,Ground,16,512,0.14875053495168686,0.008477131700832332,10.406666666666666,0.12835098225485744
14,Ground,32,8,0.01098617265621821,0.0036279368130448914,11.913333333333334,0.03655973833078963
15,Ground,32,16,0.020703674256801606,0.005112462988502748,11.82,0.061356770154954166
16,Ground,32,32,0.02390674442052841,0.005605967143760993,11.74,0.06914628011463288
17,Ground,32,64,0.0359797794620196,0.00623784324173601,11.713333333333333,0.07036921908604653
18,Ground,32,128,0.05794094115495682,0.007421251008986133,11.513333333333334,0.08656335263486803
19,Ground,32,256,0.08579540411631266,0.008509035550835278,11.16,0.10994405736300948
20,Ground,32,512,0.15349410752455395,0.008489374114768192,10.32,0.13015908352707656
21,Ground,64,8,0.007817992866039276,0.0032051279042108896,11.926666666666666,0.03551685067092674
22,Ground,64,16,0.010738876064618428,0.0037897160186175405,11.893333333333333,0.04451746425185695
23,Ground,64,32,0.021326962610085806,0.005200492983439399,11.793333333333333,0.06152183851663421
24,Ground,64,64,0.030202718377113344,0.005846859567356127,11.746666666666666,0.06566586606218822
25,Ground,64,128,0.050018664399782815,0.007221543704309245,11.52,0.08446171180260556
26,Ground,64,256,0.07738901327053706,0.008532484599024073,11.193333333333333,0.11060001766515092
27,Ground,64,512,0.14975571850935618,0.008847390477761327,10.293333333333333,0.13194353977475487
28,Ground,128,8,0.013304806351661681,0.004141161333196127,11.866666666666667,0.04601980574173563
29,Ground,128,16,0.013341626425584157,0.004227572019911053,11.873333333333333,0.0512018129805785
30,Ground,128,32,0.011032257576783498,0.0036690921712400036,11.913333333333334,0.03776373823430069
31,Ground,128,64,0.028572520911693572,0.00581972548091292,11.74,0.06783979021536937
32,Ground,128,128,0.04391039063533147,0.006593164626633468,11.66,0.07068219828473372
33,Ground,128,256,0.08768164078394572,0.008756385877828772,11.066666666666666,0.11377857009418386
34,Ground,128,512,0.1447694813211759,0.008685996415270934,10.46,0.132985003611995
35,Ground,256,8,0.008436796168486277,0.003235197347421867,11.94,0.034407740661799704
36,Ground,256,16,0.009488144318262736,0.0033577680428044272,11.933333333333334,0.03231094268435045
