,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
1,Ground,8,16,0.006024357676506042,0.0024255768112091468,11.986666666666666,0.009396399265931733
2,Ground,8,32,0.010386000672976176,0.0037020699115209972,11.906666666666666,0.042670022239413075
3,Ground,8,64,0.005774983565012614,0.0025538676623863736,11.96,0.01863339956686231
4,Ground,8,128,0.02581197589635849,0.005356958136880355,11.793333333333333,0.056200875475173766
5,Ground,8,256,0.04286691089471181,0.0069145057095054115,11.573333333333334,0.08211230737000179
6,Ground,8,512,0.04393167893091838,0.006985118606398654,11.573333333333334,0.08373104201826571
7,Ground,16,8,0.004295143981774648,0.002130809441518687,11.98,0.011469246887266565
8,Ground,16,16,0.00544029692808787,0.0024190982163590905,11.973333333333333,0.016238344067245104
9,Ground,16,32,0.008904083569844564,0.003357137878429694,11.92,0.03478280322871386
10,Ground,16,64,0.011213452418645223,0.003968182481313729,11.88,0.049081040594727586
11,Ground,16,128,0.020898902813593547,0.005226425519837258,11.773333333333333,0.06285288150038007
12,Ground,16,256,0.028196960786978403,0.0057498755506319825,11.753333333333334,0.06684762911480067
13,Ground,16,512,0.07120298971732457,0.008247934684657217,11.26,0.10294543634146525
14,Ground,32,8,0.003960457344849904,0.0019655780146762792,11.993333333333334,0.006666666666666666
15,Ground,32,16,0.0011156218250592549,0.0011156218250592549,11.993333333333334,0.006666666666666666
16,Ground,32,32,0.007060457865397135,0.0031390240219896027,11.92,0.03726679913372461
17,Ground,32,64,0.009961846470832824,0.003265515784796732,11.946666666666667,0.024643619440335055
18,Ground,32,128,0.025922050674756367,0.005546414327286266,11.76,0.06179999493205311
19,Ground,32,256,0.050871310035387675,0.007471300402457602,11.466666666666667,0.09155219616926381
20,Ground,32,512,0.05411380002895991,0.007346102795311425,11.513333333333334,0.08656335263486803
21,Ground,64,8,0.0060013891259829205,0.0026681703962172986,11.953333333333333,0.023812591684741514
22,Ground,64,16,0.007621118426322937,0.0031324115284812174,11.933333333333334,0.033667231483511605
23,Ground,64,32,0.008604571123917897,0.0034772719231455592,11.9,0.04203971702576344
24,Ground,64,64,0.01925354798634847,0.004640654652408882,11.853333333333333,0.044758028704160735
25,Ground,64,128,0.026771596769491833,0.0054208756569504805,11.793333333333333,0.056200875475173766
26,Ground,64,256,0.03486772318681081,0.006244140996937991,11.68,0.07035862115242025
27,Ground,64,512,0.07650683651367823,0.008326700281729939,11.246666666666666,0.10531158272303255
28,Ground,128,8,0.003179522156715393,0.0018284828396339908,11.986666666666666,0.009396399265931733
29,Ground,128,16,0.005607640246550242,0.0024874336279710734,11.966666666666667,0.01748547922118043
30,Ground,128,32,0.010148252745469412,0.0036056919285731843,11.913333333333334,0.04006333539103721
31,Ground,128,64,0.014255162378152211,0.004292271683289243,11.873333333333333,0.0503203755340236
32,Ground,128,128,0.01712745149930318,0.004485875732844996,11.866666666666667,0.04698199632965865
33,Ground,128,256,0.028734221160411834,0.005727740381832708,11.766666666666667,0.06444855858707993
34,Ground,128,512,0.05023942689100901,0.007160253796181644,11.546666666666667,0.08332393683041338
35,Ground,256,8,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
36,Ground,256,16,0.002428118089834849,0.0017168588020524895,11.98,0.014867046874683931
37,Ground,256,32,0.008452475766340891,0.0029384826030639526,11.966666666666667,0.017485479221180433
38,Ground,256,64,0.016728491187095643,0.004381775385539125,11.88,0.044289064708982286
39,Ground,256,128,0.02753251512845357,0.005783469036591752,11.746666666666666,0.06898864586844794
40,Ground,256,256,0.04701585203409195,0.007223837204757076,11.54,0.08955770014622409
41,Ground,256,512,0.053848564128081006,0.007723253530216705,11.446666666666667,0.09945563991155179
42,Abstract,8,8,0.005804514686266581,0.0025794359440739073,11.96,0.0208971059726298
43,Abstract,8,16,0.01546000232299169,0.004183539891788445,11.886666666666667,0.03846805428659695
44,Abstract,8,32,0.019370469152927398,0.004847501669133076,11.82,0.05272867530201328
45,Abstract,8,64,0.023480081061522166,0.0051596127727904055,11.806666666666667,0.052410927243813396
46,Abstract,8,128,0.04313240716854731,0.006776079259247435,11.633333333333333,0.07881486060414436
47,Abstract,8,256,0.05689885785182317,0.00738382994631619,11.513333333333334,0.08499857436186556
48,Abstract,8,512,0.1024161140124003,0.009180337704326191,10.84,0.12373023987493047
49,Abstract,16,8,0.0,0.0,12.0,0.0
50,Abstract,16,16,0.010177783866723378,0.0036236073893726062,11.913333333333334,0.041164988780123715
51,Abstract,16,32,0.010349032779534658,0.0031946671442276055,11.966666666666667,0.01748547922118043
52,Abstract,16,64,0.034192366798718773,0.006373018846886198,11.64,0.07525051375923678
53,Abstract,16,128,0.039730090300242105,0.006526887441454051,11.64,0.07221642838000371
54,Abstract,16,256,0.07011921495199204,0.007928845596269125,11.353333333333333,0.09513285972393706
55,Abstract,16,512,0.12440709064404169,0.008914261966797768,10.673333333333334,0.12531719635275573
56,Abstract,32,8,0.006661497553189595,0.0029793347860263097,11.933333333333334,0.033667231483511605
57,Abstract,32,16,0.008604139486948648,0.003285583807527768,11.933333333333334,0.03497095844236087
58,Abstract,32,32,0.021752944886684417,0.005121326232618221,11.806666666666667,0.05651842697405137
59,Abstract,32,64,0.031300583084424335,0.006022517011698281,11.706666666666667,0.06857231631824767
60,Abstract,32,128,0.04741750369469325,0.007193206969636093,11.513333333333334,0.0860449217605289
61,Abstract,32,256,0.08332951207955679,0.008791074315220353,11.093333333333334,0.11560430337572139
62,Abstract,32,512,0.11138791084289551,0.009208550190561068,10.773333333333333,0.12801938704783897
63,Abstract,64,8,0.011702834169069925,0.0036458172106051587,11.92,0.033471748413168564
64,Abstract,64,16,0.014809692005316417,0.004272962455497527,11.886666666666667,0.04780335059505085
65,Abstract,64,32,0.021870149870713552,0.0051679925488400495,11.806666666666667,0.05960095990899039
66,Abstract,64,64,0.0326255797346433,0.0061712178609937265,11.7,0.07250703892390245
67,Abstract,64,128,0.04560390790303548,0.007037589464503892,11.586666666666666,0.0852351224550386
68,Abstract,64,256,0.07043075084686279,0.008218521599315421,11.293333333333333,0.1038613198016092
