,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.003740614354610443,0.0021511563087667942,11.966666666666667,0.019880328020616463
1,Ground,8,16,0.003012178838253021,0.0017328027979496658,11.993333333333334,0.006666666666666666
2,Ground,8,32,0.004661439259847005,0.0024273785304977547,11.973333333333333,0.026666666666666665
3,Ground,8,64,0.012409027516841888,0.003911294936380159,11.9,0.04203971702576344
4,Ground,8,128,0.010078767637411752,0.003555386431109742,11.913333333333334,0.037763738234300695
5,Ground,8,256,0.029857745766639708,0.005698126232348932,11.746666666666666,0.058456405804389704
6,Ground,8,512,0.041223633587360385,0.006561970523094121,11.66,0.07377940395142328
7,Ground,8,1024,0.07048681606849035,0.00819716824397444,11.286666666666667,0.10246914378867665
8,Ground,16,8,0.0009482785065968831,0.0009482785065968832,12.0,0.0
9,Ground,16,16,0.002492391765117645,0.0018066165964731032,11.98,0.020000000000000007
10,Ground,16,32,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
11,Ground,16,64,0.015538127521673838,0.004446090870190753,11.86,0.05096825348719216
12,Ground,16,128,0.020916659931341806,0.005101508728662157,11.806666666666667,0.05960095990899039
13,Ground,16,256,0.04366690903902054,0.007065283450618483,11.553333333333333,0.08697587243758406
14,Ground,16,512,0.051431788404782616,0.007647967132355241,11.466666666666667,0.09906347440516594
15,Ground,16,1024,0.08252598275740941,0.008305733131947868,11.233333333333333,0.10509042305153872
16,Ground,32,8,0.0,0.0,12.0,0.0
17,Ground,32,16,0.002428118089834849,0.0017168588020524892,11.98,0.014867046874683931
18,Ground,32,32,0.012062566876411438,0.0036388240925037474,11.946666666666667,0.033826331914618105
19,Ground,32,64,0.011858403484026591,0.0034923326347346736,11.946666666666667,0.024643619440335055
20,Ground,32,128,0.016447326242923735,0.004716493203052948,11.833333333333334,0.05786404389977851
21,Ground,32,256,0.0395956614613533,0.006804601463345081,11.593333333333334,0.08306040316660135
22,Ground,32,512,0.06240541537602742,0.008088007712057735,11.346666666666666,0.1036197948951303
23,Ground,32,1024,0.08472880800565084,0.008707251604685756,11.106666666666667,0.11435909011278603
24,Ground,64,8,0.0065054966012636824,0.0029436046558681483,11.94,0.03308182520413118
25,Ground,64,16,0.007504197259744008,0.0027983862468823526,11.966666666666667,0.01748547922118043
26,Ground,64,32,0.005516344606876373,0.0027538191222590638,11.94,0.0317004999995854
27,Ground,64,64,0.014971823891003927,0.004303743415415156,11.88,0.04816080447052688
28,Ground,64,128,0.018486032684644063,0.004673295132338781,11.853333333333333,0.049504630354617864
29,Ground,64,256,0.025622538228829702,0.00562602653190506,11.74,0.06583145722697013
30,Ground,64,512,0.060250741640726725,0.0077024066104868175,11.44,0.09387506572144605
31,Ground,64,1024,0.0920224271217982,0.008700751911872895,11.04,0.11188040914647657
32,Ground,128,8,0.0060013891259829205,0.0026681703962172995,11.953333333333333,0.023812591684741514
33,Ground,128,16,0.005424617330233256,0.002771862928110554,11.946666666666667,0.03382633191461811
34,Ground,128,32,0.00563717136780421,0.002513690939540057,11.966666666666667,0.019880328020616463
35,Ground,128,64,0.010239980022112528,0.0035910296611624524,11.906666666666666,0.03824642419181308
36,Ground,128,128,0.017168324987093607,0.004513258549128356,11.866666666666667,0.047924872850462895
37,Ground,128,256,0.025564679304758708,0.005472315368371752,11.773333333333333,0.06141265175576503
38,Ground,128,512,0.04281397958596547,0.006902516188579049,11.573333333333334,0.08101518440637967
39,Ground,128,1024,0.09118742456038793,0.009209533635870258,10.94,0.12450528501041926
40,Ground,256,8,0.001312496264775594,0.0013124962647755947,11.986666666666666,0.01333333333333333
41,Ground,256,16,0.0038048880298932396,0.002223196012545361,11.966666666666667,0.023962436425231447
42,Ground,256,32,0.00577706108490626,0.0026583781737611013,11.966666666666667,0.027443929686894505
43,Ground,256,64,0.01682542989651362,0.004374522722542512,11.873333333333333,0.04261756122751931
44,Ground,256,128,0.017952825725078583,0.004641655014608288,11.833333333333334,0.048620032205797296
45,Ground,256,256,0.024969718754291534,0.005536842237060006,11.766666666666667,0.06513909857040738
46,Ground,256,512,0.06241588354110718,0.007970305031896838,11.373333333333333,0.10035581738010178
47,Ground,256,1024,0.08710152000188827,0.008259102767428382,11.193333333333333,0.10175052469967516
48,Ground,512,8,0.0018965570131937663,0.001336560519492869,12.0,0.0
49,Ground,512,16,0.006217326521873474,0.0030979912483767107,11.92,0.04070958969963102
50,Ground,512,32,0.008452475766340891,0.0029384826030639526,11.966666666666667,0.01748547922118043
51,Ground,512,64,0.009735440909862518,0.003174702497495047,11.953333333333333,0.019699456985365613
52,Ground,512,128,0.02215831995010376,0.005070982114155262,11.826666666666666,0.05495303397744183
53,Ground,512,256,0.04485128959019979,0.0071839031262231024,11.506666666666666,0.08759611744364357
54,Ground,512,512,0.06261458605527878,0.007748976300035651,11.42,0.09329657313794604
55,Ground,512,1024,0.09335112522045771,0.008176828570050223,11.166666666666666,0.09985074618547263
56,Abstract,8,8,0.0034406702717145283,0.0020325774445969663,11.98,0.020000000000000014
57,Abstract,8,16,0.006702371040980021,0.003021357215218005,11.933333333333334,0.03497095844236086
58,Abstract,8,32,0.016019118626912434,0.004439917099417533,11.88,0.05087159780356077
59,Abstract,8,64,0.02531487355629603,0.0054179514389838335,11.78,0.058977112308813105
60,Abstract,8,128,0.02832184096177419,0.005593206867275275,11.773333333333333,0.059186632104183325
61,Abstract,8,256,0.06682925452788671,0.008345934814663515,11.26,0.10720362610315208
62,Abstract,8,512,0.10671811530987421,0.009066659570642364,10.86,0.12479244513357411
63,Abstract,8,1024,0.14655672520399093,0.00852571553960413,10.406666666666666,0.12553123506475558
64,Abstract,16,8,0.003713160753250122,0.002245038447975904,11.973333333333333,0.026666666666666665
65,Abstract,16,16,0.01050725907087326,0.003705252255447682,11.9,0.04203971702576344
66,Abstract,16,32,0.012227832674980163,0.0036078942678564544,11.933333333333334,0.027848530325897874
67,Abstract,16,64,0.024886382122834522,0.005324588539859535,11.793333333333333,0.056200875475173766
68,Abstract,16,128,0.039059331516424815,0.006787120454947642,11.62,0.08443522065877337
69,Abstract,16,256,0.05319800436496735,0.007510099170041151,11.493333333333334,0.09352489131004807
70,Abstract,16,512,0.12777750412623087,0.008964143977186338,10.586666666666666,0.12412978221887842
71,Abstract,16,1024,0.18941853662331898,0.007701690487400656,9.706666666666667,0.12920222141816493
72,Abstract,32,8,0.01034512718518575,0.003668130171098509,11.906666666666666,0.04160823643581918
73,Abstract,32,16,0.015053083002567292,0.0045049085481012,11.846666666666666,0.0549448913798157
74,Abstract,32,32,0.017082240780194602,0.004672254388782597,11.84,0.054407526785521375
75,Abstract,32,64,0.03693775445222855,0.006341998149940912,11.673333333333334,0.07047087815656969
76,Abstract,32,128,0.04986083537340164,0.00747159368522963,11.473333333333333,0.09302121028567989
77,Abstract,32,256,0.06064183354377747,0.007440167811405692,11.52,0.08707013296011024
78,Abstract,32,512,0.11874473631381989,0.008916133050563697,10.773333333333333,0.12554905515301007
79,Abstract,32,1024,0.18691137383381526,0.007769140455555489,9.753333333333334,0.129337207903401
80,Abstract,64,8,0.0022312436501185097,0.0015724242147066307,11.986666666666666,0.009396399265931733
81,Abstract,64,16,0.01704749822616577,0.0046532872237455775,11.84,0.05357885321938358
82,Abstract,64,32,0.01863025963306427,0.004539876579809779,11.88,0.04428906470898229
83,Abstract,64,64,0.03271093755960464,0.006113676772175935,11.686666666666667,0.06830427166157689
84,Abstract,64,128,0.04598172773917516,0.006910096375066769,11.593333333333334,0.07863298865803434
85,Abstract,64,256,0.08452060212691626,0.008652167847732864,11.153333333333334,0.1149794910869714
86,Abstract,64,512,0.1149355344971021,0.008783865776733176,10.82,0.11968265271199068
87,Abstract,64,1024,0.19299088815848034,0.007382516972364151,9.68,0.1273793678572189
88,Abstract,128,8,0.004077378511428833,0.002418696945763039,11.96,0.029734093749367863
89,Abstract,128,16,0.006817066868146261,0.002791302039833301,11.96,0.024812495949768348
90,Abstract,128,32,0.014101421137650809,0.003966133768065088,11.9,0.035077415183111936
91,Abstract,128,64,0.029548253019650778,0.005829452379606533,11.733333333333333,0.06531059276425603
92,Abstract,128,128,0.04193205227454504,0.006935729927838875,11.58,0.08475256788359593
93,Abstract,128,256,0.07294223994016648,0.008039336779718614,11.326666666666666,0.09853361849970692
94,Abstract,128,512,0.12251892427603404,0.008851915580321182,10.693333333333333,0.12149209074399966
95,Abstract,128,1024,0.18726993759473165,0.007715537780962478,9.733333333333333,0.12644393463317358
96,Abstract,256,8,0.00924518495798111,0.003242959773280609,11.94,0.02873935947438222
97,Abstract,256,16,0.01102091521024704,0.003652619780796248,11.913333333333334,0.03776373823430069
98,Abstract,256,32,0.012424707114696502,0.003669546320433466,11.926666666666666,0.030058357359127395
99,Abstract,256,64,0.03341920842727025,0.006303024213810184,11.673333333333334,0.07537923014373318
100,Abstract,256,128,0.031775159438451134,0.0061257044208850855,11.693333333333333,0.0713855628481481
101,Abstract,256,256,0.07496717393398285,0.00866823735204304,11.146666666666667,0.11208284993616807
102,Abstract,256,512,0.12145504136880239,0.008939299931602165,10.706666666666667,0.12389887868820235
103,Abstract,256,1024,0.19145308802525202,0.007286831471069069,9.713333333333333,0.12309820988405644
104,Abstract,512,8,0.00583925724029541,0.002614500327626222,11.96,0.02293849377453313
105,Abstract,512,16,0.004920509854952494,0.002475931172115678,11.96,0.024812495949768348
106,Abstract,512,32,0.018071392774581908,0.004770501742634418,11.84,0.055223766890082765
107,Abstract,512,64,0.02142076740662257,0.005241196579960795,11.793333333333333,0.06366626257528978
108,Abstract,512,128,0.05043104459842046,0.007318035376142921,11.513333333333334,0.08810034276452867
109,Abstract,512,256,0.06666971147060394,0.007971298168968648,11.346666666666666,0.0978455463071273
110,Abstract,512,512,0.1279446652531624,0.009135579038742288,10.566666666666666,0.12950315196311557
111,Abstract,512,1024,0.19315049995978673,0.0072891845530507655,9.66,0.12218371029070399
112,LLM,8,8,0.004659361739953359,0.0023124447976441698,11.966666666666667,0.01748547922118043
113,LLM,8,16,0.008738817771275838,0.003389268546613137,11.933333333333334,0.039760656041232925
114,LLM,8,32,0.01914836645126343,0.005177405564536304,11.773333333333333,0.06563860561706594
115,LLM,8,64,0.020199566781520843,0.004968669367727239,11.833333333333334,0.05708556838485993
116,LLM,8,128,0.03183422168095906,0.006145415363155306,11.693333333333333,0.0726282968296301
117,LLM,8,256,0.042988611857096355,0.006963336306350496,11.573333333333334,0.0837310420182657
118,LLM,8,512,0.07097998936971028,0.008643795525558908,11.2,0.11508191810497582
119,LLM,8,1024,0.09894390235344569,0.00956359596213331,10.793333333333333,0.13287280647099314
120,LLM,16,8,0.003880504071712494,0.002319346251041411,11.966666666666667,0.027443929686894505
121,LLM,16,16,0.005152126848697662,0.0026039695341341625,11.953333333333333,0.02890494591904899
122,LLM,16,32,0.01663806974887848,0.004755334250769524,11.826666666666666,0.05888347167406786
123,LLM,16,64,0.013717186550299326,0.004330749111995881,11.86,0.05269472251336586
124,LLM,16,128,0.01970723330974579,0.004964900993094913,11.813333333333333,0.057062050033837124
125,LLM,16,256,0.04436968465646108,0.0073208981263427845,11.506666666666666,0.09400207845132616
126,LLM,16,512,0.0724641661842664,0.008568310329459835,11.206666666666667,0.11244552911143857
127,LLM,16,1024,0.1157779488960902,0.009766244289338349,10.6,0.14030966073244774
128,LLM,32,8,0.0062677486737569175,0.002819240567192768,11.946666666666667,0.029593316052091652
129,LLM,32,16,0.004308995505174001,0.00255012516099784,11.953333333333333,0.033225777258358805
130,LLM,32,32,0.008493780891100566,0.0031909592254789677,11.933333333333334,0.030895170472719592
131,LLM,32,64,0.014541254937648773,0.004112818253824443,11.886666666666667,0.03961409672338302
132,LLM,32,128,0.0323617293437322,0.006260143560201055,11.68,0.07645384330823109
133,LLM,32,256,0.041540528734525045,0.0071190542826063755,11.533333333333333,0.09007412640473643
134,LLM,32,512,0.08393873234589895,0.009196642327933808,11.0,0.12549677571907444
135,LLM,32,1024,0.11256276468435923,0.009833159411819658,10.613333333333333,0.14056029354798882
136,LLM,64,8,0.007477175295352936,0.003088922507287985,11.94,0.034407740661799704
137,LLM,64,16,0.007117010951042176,0.0028764345604134537,11.946666666666667,0.024643619440335055
138,LLM,64,32,0.012344753841559091,0.003871759821668632,11.9,0.03985432084956804
139,LLM,64,64,0.009558980564276377,0.0035987962305477623,11.9,0.04203971702576344
140,LLM,64,128,0.036098006467024484,0.006644278203572267,11.62,0.0828302487733607
141,LLM,64,256,0.05048576960961024,0.0074656544110387815,11.486666666666666,0.09304044809305895
142,LLM,64,512,0.06704159200191498,0.00877348990839169,11.186666666666667,0.1201738735361645
143,LLM,64,1024,0.11299392402172088,0.010060447297864837,10.546666666666667,0.14364593143108492
144,LLM,128,8,0.0011156218250592549,0.0011156218250592549,11.993333333333334,0.006666666666666666
145,LLM,128,16,0.010436422824859619,0.003471752848480073,11.933333333333334,0.03231094268435045
146,LLM,128,32,0.018012762169043222,0.004878647884918294,11.806666666666667,0.058080147252285164
147,LLM,128,64,0.011628092328707377,0.0038557284039183247,11.893333333333333,0.042459789285739645
148,LLM,128,128,0.027175734142462413,0.006010124441306508,11.7,0.07670507743170026
149,LLM,128,256,0.05263480027516683,0.0077950948172928955,11.426666666666666,0.10159650272595346
150,LLM,128,512,0.07151588767766953,0.008568955875613,11.206666666666667,0.1124455291114386
151,LLM,128,1024,0.13693063120047252,0.009887116313987449,10.253333333333334,0.1422688215977305
152,LLM,256,8,0.001312496264775594,0.0013124962647755947,11.986666666666666,0.01333333333333333
153,LLM,256,16,0.005868788361549377,0.002639476508373567,11.96,0.024812495949768348
154,LLM,256,32,0.011224794785181682,0.003983346456168962,11.88,0.0490810405947276
155,LLM,256,64,0.021825858652591706,0.005332666852098392,11.78,0.06544974334405852
156,LLM,256,128,0.019973592857519786,0.005042838836863669,11.806666666666667,0.05960095990899039
157,LLM,256,256,0.043956872820854184,0.007131822723815315,11.546666666666667,0.08853097217950603
158,LLM,256,512,0.06617894421021144,0.008417792592318884,11.26,0.11089628748150773
159,LLM,256,1024,0.12575108150641123,0.00965598793317957,10.48,0.13829256022926575
