,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.004556292096773783,0.002307479103142101,11.973333333333333,0.021039361569976045
1,Ground,8,16,0.00633815328280131,0.002886439896986937,11.946666666666667,0.03247668813449019
2,Ground,8,32,0.0072455583016077674,0.002982993221008137,11.946666666666667,0.031068469765534974
3,Ground,8,64,0.010587212344010671,0.003493696087795606,11.926666666666666,0.0329009994431014
4,Ground,8,128,0.024661179880301157,0.005133479988398863,11.833333333333334,0.0504269615277256
5,Ground,8,256,0.02647865782181422,0.005572669044642499,11.78,0.06336570466714787
6,Ground,8,512,0.04039748768011729,0.006682136214189063,11.626666666666667,0.07831940949124566
7,Ground,16,8,0.004127800663312276,0.002049905082874818,11.986666666666666,0.009396399265931733
8,Ground,16,16,0.006702371040980021,0.003021357215218005,11.933333333333334,0.03497095844236086
9,Ground,16,32,0.010021782914797465,0.0035953116863510644,11.92,0.04070958969963102
10,Ground,16,64,0.01400969386100769,0.003980011517322209,11.906666666666666,0.03705810983910444
11,Ground,16,128,0.023899307648340862,0.0052970020260911,11.8,0.05907565391856479
12,Ground,16,256,0.03379297484954198,0.006203822699370373,11.686666666666667,0.07087605633548184
13,Ground,16,512,0.05376223047574361,0.007537449020870622,11.466666666666667,0.09203961148347127
14,Ground,32,8,0.004688892861207326,0.0023407462308154144,11.966666666666667,0.019880328020616463
15,Ground,32,16,0.005516344606876373,0.0027538191222590638,11.94,0.0317004999995854
16,Ground,32,32,0.009644145270188649,0.003388213104887712,11.926666666666666,0.032900999443101396
17,Ground,32,64,0.015861471792062123,0.004502520945410581,11.846666666666666,0.05158487427810449
18,Ground,32,128,0.02037124733130137,0.004799614289826126,11.853333333333333,0.04950463035461788
19,Ground,32,256,0.02463208039601644,0.0052464376352194956,11.8,0.05434169793287829
20,Ground,32,512,0.04304588039716085,0.006833648554817772,11.6,0.08026800745087814
21,Ground,64,8,0.003012178838253021,0.001732802797949666,11.993333333333334,0.006666666666666666
22,Ground,64,16,0.00980627715587616,0.0034285899276910174,11.92,0.03347174841316856
23,Ground,64,32,0.004828782578309377,0.0024958377127559227,11.966666666666667,0.027443929686894505
24,Ground,64,64,0.016642406980196634,0.0045453168917892915,11.853333333333333,0.05128039921620446
25,Ground,64,128,0.017647238572438557,0.0044451900044996375,11.88,0.043267028950269334
26,Ground,64,256,0.03309633016586304,0.005897337828758091,11.733333333333333,0.06032474879290974
27,Ground,64,512,0.0646566758553187,0.00788794189344013,11.386666666666667,0.09683430654056263
28,Ground,128,8,0.0009482785065968831,0.000948278506596883,12.0,0.0
29,Ground,128,16,0.004324675103028615,0.0021615238198065805,11.98,0.014867046874683931
30,Ground,128,32,0.007944462696711223,0.0032173489331431154,11.92,0.03478280322871385
31,Ground,128,64,0.009957940876483917,0.003729993811333256,11.886666666666667,0.044907727088714065
32,Ground,128,128,0.028989238341649372,0.005782460281649041,11.76,0.06667561461203503
33,Ground,128,256,0.03447576800982157,0.006342913080068549,11.666666666666666,0.07428505871169618
34,Ground,128,512,0.05360492368539174,0.007307601988254431,11.533333333333333,0.08600851457078325
35,Ground,256,8,0.0022607747713724773,0.001614054636562758,11.986666666666666,0.013333333333333332
36,Ground,256,16,0.0044920184214909875,0.002238298690466815,11.973333333333333,0.0162383440672451
37,Ground,256,32,0.007151753505071004,0.002907814622781719,11.946666666666667,0.026396845223113974
38,Ground,256,64,0.009597628712654113,0.003143638690376071,11.96,0.0208971059726298
39,Ground,256,128,0.019924998780091605,0.004826469657307403,11.833333333333334,0.05042696152772559
40,Ground,256,256,0.03106896609067917,0.005975080192795823,11.713333333333333,0.0671148247536648
41,Ground,256,512,0.037732109526793164,0.006406840652101541,11.686666666666667,0.07335773439878238
42,Abstract,8,8,0.008528523445129395,0.00321917517879311,11.933333333333334,0.03231094268435045
43,Abstract,8,16,0.01463072250286738,0.004393405704800834,11.86,0.0518386759297308
44,Abstract,8,32,0.033025459547837574,0.006240289755550376,11.686666666666667,0.0739651448638835
45,Abstract,8,64,0.027575216690699258,0.00546762440301724,11.8,0.05596419436974089
46,Abstract,8,128,0.04202725350856781,0.006588823035663441,11.666666666666666,0.0736802856209663
47,Abstract,8,256,0.07505219082037608,0.008415315489584962,11.24,0.10855157847842012
48,Abstract,8,512,0.12940796196460724,0.009069207929260154,10.586666666666666,0.13079918404696841
49,Abstract,16,8,0.003543739914894104,0.002038591583721224,11.973333333333333,0.016238344067245104
50,Abstract,16,16,0.00924518495798111,0.003242959773280609,11.94,0.02873935947438222
51,Abstract,16,32,0.018811454474925996,0.004782910699263608,11.846666666666666,0.054124445772005564
52,Abstract,16,64,0.03670952081680298,0.00659640793515488,11.626666666666667,0.08001491285314474
53,Abstract,16,128,0.04135094324747721,0.007134518140776583,11.546666666666667,0.0920007132871224
54,Abstract,16,256,0.06047280997037888,0.0078558423546511,11.406666666666666,0.0983518164102758
55,Abstract,16,512,0.10942213068405787,0.00898933282842061,10.82,0.12190508648886159
56,Abstract,32,8,0.005424617330233256,0.002771862928110554,11.946666666666667,0.03382633191461811
57,Abstract,32,16,0.01598003884156545,0.004635595847773267,11.853333333333333,0.05784084208132785
58,Abstract,32,32,0.016761156221230825,0.004339649210179129,11.873333333333333,0.04046338601446259
59,Abstract,32,64,0.044956039488315586,0.00670866414922254,11.62,0.07245765561224891
60,Abstract,32,128,0.04684301346540451,0.007305623542160833,11.513333333333334,0.09109655946799139
