,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.001544113258520762,0.001544113258520763,11.98,0.020000000000000014
1,Ground,8,16,0.0,0.0,12.0,0.0
2,Ground,8,32,0.005410765806833903,0.0023917863732350873,11.973333333333333,0.013198422611556987
3,Ground,8,64,0.004556292096773783,0.0023074791031421006,11.973333333333333,0.021039361569976045
4,Ground,8,128,0.012227832674980163,0.0036078942678564544,11.933333333333334,0.027848530325897874
5,Ground,8,256,0.011126062373320261,0.0037282990757601764,11.913333333333334,0.04116498878012371
6,Ground,8,512,0.02074723909298579,0.00501798484335146,11.806666666666667,0.055721155129880455
7,Ground,8,1024,0.04320454925298691,0.007131567989303842,11.54,0.08905670214457759
8,Ground,16,8,0.0018965570131937663,0.001336560519492869,12.0,0.0
9,Ground,16,16,0.0,0.0,12.0,0.0
10,Ground,16,32,0.0044763388236363725,0.002615524681726351,11.946666666666667,0.033826331914618105
11,Ground,16,64,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
12,Ground,16,128,0.013489906787872314,0.004022248054882489,11.893333333333333,0.041392611026322496
13,Ground,16,256,0.017492543458938598,0.0047823440682033405,11.826666666666666,0.05655799554927513
14,Ground,16,512,0.043031994501749674,0.007110565445460827,11.546666666666667,0.0890349285037139
15,Ground,16,1024,0.03901593794425329,0.006676810915826166,11.606666666666667,0.07908688432467761
16,Ground,32,8,0.0,0.0,12.0,0.0
17,Ground,32,16,0.0022607747713724773,0.001614054636562758,11.986666666666666,0.013333333333333332
18,Ground,32,32,0.002063900331656138,0.0014593299529254717,11.993333333333334,0.006666666666666666
19,Ground,32,64,0.009905293385187785,0.0034993354927566225,11.92,0.03726679913372461
20,Ground,32,128,0.013207867642243703,0.004148269839838361,11.873333333333333,0.047578186367769774
21,Ground,32,256,0.02103107194105784,0.005113196840205165,11.8,0.058313355479624594
22,Ground,32,512,0.027489132483800253,0.005600660679079347,11.773333333333333,0.06141265175576503
23,Ground,32,1024,0.03546563545862834,0.006383335857906857,11.666666666666666,0.07548006932314053
24,Ground,64,8,0.0,0.0,12.0,0.0
25,Ground,64,16,0.001544113258520762,0.0015441132585207623,11.98,0.020000000000000007
26,Ground,64,32,0.0033763965964317324,0.0019534405032732016,11.98,0.014867046874683931
27,Ground,64,64,0.004308995505174001,0.00255012516099784,11.953333333333333,0.033225777258358805
28,Ground,64,128,0.010542001624902089,0.0037294534932238222,11.9,0.04309087219144258
29,Ground,64,256,0.018591611484686535,0.00486662462955171,11.82,0.05681320702239948
30,Ground,64,512,0.036798556745052335,0.006676564955299635,11.633333333333333,0.08376843904220421
31,Ground,64,1024,0.04876158515612284,0.00764951198080002,11.466666666666667,0.10129659053634454
32,Ground,128,8,0.0022312436501185097,0.0015724242147066307,11.986666666666666,0.009396399265931733
33,Ground,128,16,0.0036080135901769,0.0021145100001943476,11.973333333333333,0.021039361569976038
34,Ground,128,32,0.00416910578807195,0.0023983430433913546,11.953333333333333,0.0273131916840594
35,Ground,128,64,0.006984410186608632,0.0028501867349165775,11.953333333333333,0.025622743439319612
36,Ground,128,128,0.016589475671450298,0.004524998783966066,11.853333333333333,0.049504630354617864
37,Ground,128,256,0.006217326521873474,0.0030979912483767107,11.92,0.04070958969963102
38,Ground,128,512,0.021267026166121163,0.004979111335147303,11.82,0.052728675302013264
39,Ground,128,1024,0.04330061376094818,0.006982706593235015,11.56,0.08380226006466837
40,Ground,256,8,0.002764882246653239,0.0020435651459100807,11.973333333333333,0.026666666666666665
41,Ground,256,16,0.0038048880298932396,0.002223196012545361,11.966666666666667,0.023962436425231447
42,Ground,256,32,0.001544113258520762,0.0015441132585207623,11.98,0.020000000000000007
43,Ground,256,64,0.0022312436501185097,0.0015724242147066303,11.986666666666666,0.009396399265931733
44,Ground,256,128,0.003012178838253021,0.001732802797949666,11.993333333333334,0.006666666666666666
45,Ground,256,256,0.01843381683031718,0.004634059903314116,11.853333333333333,0.04859241677396153
46,Ground,256,512,0.027470501164595287,0.0055367679658688065,11.766666666666667,0.057864043899778526
47,Ground,256,1024,0.03941921204328537,0.00697543722129987,11.58,0.08937766438199374
48,Ground,512,8,0.001312496264775594,0.001312496264775594,11.986666666666666,0.013333333333333332
49,Ground,512,16,0.0,0.0,12.0,0.0
50,Ground,512,32,0.0022607747713724773,0.0016140546365627582,11.986666666666666,0.013333333333333332
51,Ground,512,64,0.003775356908639272,0.0021932984575317982,11.966666666666667,0.02201619632952712
52,Ground,512,128,0.015614175200462342,0.004635612149291093,11.826666666666666,0.057343633641100934
53,Ground,512,256,0.011708045601844788,0.0036527327750352947,11.92,0.03347174841316855
54,Ground,512,512,0.02725273569424947,0.005659795732111463,11.746666666666666,0.06358891090322522
55,Ground,512,1024,0.05487081279357275,0.007810262369205892,11.406666666666666,0.09970725232920384
56,Abstract,8,8,0.002624992529551188,0.0018499108408313294,11.973333333333333,0.018792798531863466
57,Abstract,8,16,0.005193000336488088,0.002652102766989147,11.953333333333333,0.030413506164139025
58,Abstract,8,32,0.005257274011770884,0.002710631496442234,11.953333333333333,0.033225777258358805
59,Abstract,8,64,0.013785797456900279,0.004136275608015691,11.886666666666667,0.04589323927211281
60,Abstract,8,128,0.029164018432299297,0.0060899386745693175,11.693333333333333,0.07564586435118403
61,Abstract,8,256,0.0407069460550944,0.006993495253490512,11.56,0.08745980220785511
62,Abstract,8,512,0.062150216003259026,0.008242735557246477,11.34,0.10984227048266743
63,Abstract,8,1024,0.08945062627394994,0.008905750821718442,11.06,0.12085822855476565
64,Abstract,16,8,0.001544113258520762,0.0015441132585207623,11.98,0.020000000000000007
65,Abstract,16,16,0.002624992529551188,0.0018499108408313294,11.973333333333333,0.018792798531863466
66,Abstract,16,32,0.007545502384503682,0.0030625205488445384,11.933333333333334,0.03089517047271959
67,Abstract,16,64,0.018642033636569976,0.004693210828198173,11.846666666666666,0.04981995922380802
68,Abstract,16,128,0.03744703898827235,0.006886430826845564,11.58,0.08837078687640142
69,Abstract,16,256,0.035290571550528206,0.00621207011787204,11.7,0.0693530345439003
70,Abstract,16,512,0.06435823072989781,0.008127633609417229,11.3,0.10133339220532848
71,Abstract,16,1024,0.11295791000127792,0.009589858693983301,10.686666666666667,0.13745421581996523
72,Abstract,32,8,0.0,0.0,12.0,0.0
73,Abstract,32,16,0.003972231348355611,0.0022981653269449785,11.96,0.024812495949768348
74,Abstract,32,32,0.006984410186608632,0.0028501867349165775,11.953333333333333,0.025622743439319612
75,Abstract,32,64,0.011607201298077902,0.004080275905484966,11.866666666666667,0.0515241232063675
76,Abstract,32,128,0.023505558768908183,0.005217376514026778,11.813333333333333,0.057062050033837124
77,Abstract,32,256,0.0218901323278745,0.005360677200469975,11.78,0.0668029926053398
78,Abstract,32,512,0.050646981994311016,0.007476849565908559,11.48,0.09303243282343518
79,Abstract,32,1024,0.11377674510081609,0.009259611467846821,10.726666666666667,0.1293233696201234
80,Abstract,64,8,0.0033763965964317324,0.001953440503273202,11.98,0.014867046874683931
81,Abstract,64,16,0.0018965570131937663,0.0013365605194928687,12.0,0.0
82,Abstract,64,32,0.003972231348355611,0.0022981653269449785,11.96,0.024812495949768348
83,Abstract,64,64,0.011505959729353588,0.003583490805730609,11.926666666666666,0.03151174869381233
84,Abstract,64,128,0.029925890664259592,0.005943727783526988,11.726666666666667,0.06944759127844052
85,Abstract,64,256,0.04190164695183436,0.00678117175361359,11.606666666666667,0.07965061663790127
86,Abstract,64,512,0.06857006003459294,0.008602114485464314,11.22,0.11541967000348617
87,Abstract,64,1024,0.10607229004303614,0.00919637047545143,10.82,0.12623262500325552
88,Abstract,128,8,0.004036505023638407,0.0023656904048482436,11.96,0.028189197797795194
89,Abstract,128,16,0.007151753505071004,0.002907814622781719,11.946666666666667,0.02639684522311397
90,Abstract,128,32,0.003543739914894104,0.0020385915837212243,11.973333333333333,0.0162383440672451
91,Abstract,128,64,0.01172189712524414,0.003912015839913957,11.893333333333333,0.04551142803767354
92,Abstract,128,128,0.031578284998734794,0.006093170045199679,11.7,0.07063153911443086
93,Abstract,128,256,0.037985014816125234,0.006849801529418429,11.593333333333334,0.08726347599713274
94,Abstract,128,512,0.060443278849124905,0.007848864845486737,11.406666666666666,0.09789583409209825
95,Abstract,128,1024,0.1300194075703621,0.009616902708047968,10.433333333333334,0.13819438589291233
96,Abstract,256,8,0.007348627944787343,0.002986213175152388,11.94,0.02873935947438222
97,Abstract,256,16,0.005424617330233256,0.002771862928110554,11.946666666666667,0.033826331914618105
98,Abstract,256,32,0.009726323882738749,0.0036438129365503956,11.893333333333333,0.04245978928573963
99,Abstract,256,64,0.016114899317423503,0.0043732522656597635,11.866666666666667,0.0450370632023682
100,Abstract,256,128,0.02766077866156896,0.005959546315161166,11.713333333333333,0.07408602936085769
101,Abstract,256,256,0.03684419910113017,0.006644837855478555,11.626666666666667,0.0822212144969183
102,Abstract,256,512,0.06695646166801453,0.008526083431649645,11.24,0.11378381322545522
103,Abstract,256,1024,0.1318743990858396,0.009259228104779556,10.473333333333333,0.1313146967778486
104,Abstract,512,8,0.001312496264775594,0.0013124962647755943,11.986666666666666,0.013333333333333332
105,Abstract,512,16,0.005985709528128306,0.0029917284744818413,11.926666666666666,0.03795283387056703
106,Abstract,512,32,0.007788461744785309,0.0031847124288010647,11.926666666666666,0.034233919187962314
107,Abstract,512,64,0.02185852368672689,0.0052978958575985585,11.773333333333333,0.06285288150038007
108,Abstract,512,128,0.02359725167353948,0.005737248300908664,11.726666666666667,0.07502224378072218
109,Abstract,512,256,0.03041209320227305,0.0059354287043796305,11.746666666666666,0.06963417779636011
110,Abstract,512,512,0.059132520059744516,0.008094369905726045,11.326666666666666,0.10383977791772038
111,Abstract,512,1024,0.09413832674423854,0.009189934702408425,10.94,0.12557874968068702
112,LLM,8,8,0.0,0.0,12.0,0.0
113,LLM,8,16,0.0,0.0,12.0,0.0
114,LLM,8,32,0.0,0.0,12.0,0.0
115,LLM,8,64,0.0,0.0,12.0,0.0
116,LLM,8,128,0.0,0.0,12.0,0.0
117,LLM,8,256,0.0,0.0,12.0,0.0
118,LLM,8,512,0.0,0.0,12.0,0.0
119,LLM,8,1024,0.0,0.0,12.0,0.0
120,LLM,16,8,0.0,0.0,12.0,0.0
121,LLM,16,16,0.0,0.0,12.0,0.0
122,LLM,16,32,0.0,0.0,12.0,0.0
123,LLM,16,64,0.0,0.0,12.0,0.0
124,LLM,16,128,0.0,0.0,12.0,0.0
125,LLM,16,256,0.0,0.0,12.0,0.0
126,LLM,16,512,0.0,0.0,12.0,0.0
127,LLM,16,1024,0.0,0.0,12.0,0.0
128,LLM,32,8,0.0,0.0,12.0,0.0
129,LLM,32,16,0.0,0.0,12.0,0.0
130,LLM,32,32,0.0,0.0,12.0,0.0
131,LLM,32,64,0.0,0.0,12.0,0.0
132,LLM,32,128,0.0,0.0,12.0,0.0
133,LLM,32,256,0.0,0.0,12.0,0.0
134,LLM,32,512,0.0,0.0,12.0,0.0
135,LLM,32,1024,0.0,0.0,12.0,0.0
136,LLM,64,8,0.0,0.0,12.0,0.0
137,LLM,64,16,0.0,0.0,12.0,0.0
138,LLM,64,32,0.0,0.0,12.0,0.0
139,LLM,64,64,0.0,0.0,12.0,0.0
140,LLM,64,128,0.0,0.0,12.0,0.0
141,LLM,64,256,0.0,0.0,12.0,0.0
142,LLM,64,512,0.0,0.0,12.0,0.0
143,LLM,64,1024,0.0,0.0,12.0,0.0
144,LLM,128,8,0.0,0.0,12.0,0.0
145,LLM,128,16,0.0,0.0,12.0,0.0
146,LLM,128,32,0.0,0.0,12.0,0.0
147,LLM,128,64,0.0,0.0,12.0,0.0
148,LLM,128,128,0.0,0.0,12.0,0.0
149,LLM,128,256,0.0,0.0,12.0,0.0
150,LLM,128,512,0.0,0.0,12.0,0.0
151,LLM,128,1024,0.0,0.0,12.0,0.0
152,LLM,256,8,0.0,0.0,12.0,0.0
153,LLM,256,16,0.0,0.0,12.0,0.0
154,LLM,256,32,0.0,0.0,12.0,0.0
155,LLM,256,64,0.0,0.0,12.0,0.0
156,LLM,256,128,0.0,0.0,12.0,0.0
157,LLM,256,256,0.0,0.0,12.0,0.0
158,LLM,256,512,0.0,0.0,12.0,0.0
159,LLM,256,1024,0.0,0.0,12.0,0.0
160,LLM,512,8,0.0,0.0,12.0,0.0
161,LLM,512,16,0.0,0.0,12.0,0.0
162,LLM,512,32,0.0,0.0,12.0,0.0
163,LLM,512,64,0.0,0.0,12.0,0.0
164,LLM,512,128,0.0,0.0,12.0,0.0
165,LLM,512,256,0.0,0.0,12.0,0.0
