,agent_type,simulation_depth,simulation_limit,average_score,std_score,average_turns,std_turns
0,Ground,8,8,0.0,0.0,20.0,0.0
1,Ground,8,16,0.0,0.0,20.0,0.0
2,Ground,8,32,0.0,0.0,20.0,0.0
3,Ground,8,64,0.0,0.0,20.0,0.0
4,Ground,8,128,0.0,0.0,20.0,0.0
5,Ground,8,256,0.0,0.0,20.0,0.0
6,Ground,8,512,0.0,0.0,20.0,0.0
7,Ground,8,1024,0.0,0.0,20.0,0.0
8,Ground,16,8,0.0,0.0,20.0,0.0
9,Ground,16,16,0.0,0.0,20.0,0.0
10,Ground,16,32,0.0,0.0,20.0,0.0
11,Ground,16,64,0.0,0.0,20.0,0.0
12,Ground,16,128,0.0,0.0,20.0,0.0
13,Ground,16,256,0.0,0.0,20.0,0.0
14,Ground,16,512,0.0,0.0,20.0,0.0
15,Ground,16,1024,0.0,0.0,20.0,0.0
16,Ground,32,8,0.0,0.0,20.0,0.0
17,Ground,32,16,0.0,0.0,20.0,0.0
18,Ground,32,32,0.0,0.0,20.0,0.0
19,Ground,32,64,0.0,0.0,20.0,0.0
20,Ground,32,128,0.0,0.0,20.0,0.0
21,Ground,32,256,0.0,0.0,20.0,0.0
22,Ground,32,512,0.0,0.0,20.0,0.0
23,Ground,32,1024,0.0,0.0,20.0,0.0
24,Ground,64,8,0.0,0.0,20.0,0.0
25,Ground,64,16,0.0,0.0,20.0,0.0
26,Ground,64,32,0.0,0.0,20.0,0.0
27,Ground,64,64,0.0,0.0,20.0,0.0
28,Ground,64,128,0.0,0.0,20.0,0.0
29,Ground,64,256,0.0,0.0,20.0,0.0
30,Ground,64,512,0.0,0.0,20.0,0.0
31,Ground,64,1024,0.0,0.0,20.0,0.0
32,Ground,128,8,0.0,0.0,20.0,0.0
33,Ground,128,16,0.0,0.0,20.0,0.0
34,Ground,128,32,0.0,0.0,20.0,0.0
35,Ground,128,64,0.0,0.0,20.0,0.0
36,Ground,128,128,0.0,0.0,20.0,0.0
37,Ground,128,256,0.0,0.0,20.0,0.0
38,Ground,128,512,0.0,0.0,20.0,0.0
39,Ground,128,1024,0.0,0.0,20.0,0.0
40,Ground,256,8,0.0,0.0,20.0,0.0
41,Ground,256,16,0.0,0.0,20.0,0.0
42,Ground,256,32,0.0,0.0,20.0,0.0
43,Ground,256,64,0.0,0.0,20.0,0.0
44,Ground,256,128,0.0,0.0,20.0,0.0
45,Ground,256,256,0.0,0.0,20.0,0.0
46,Ground,256,512,0.0,0.0,20.0,0.0
47,Ground,256,1024,0.0,0.0,20.0,0.0
48,Ground,512,8,0.0,0.0,20.0,0.0
49,Ground,512,16,0.0,0.0,20.0,0.0
50,Ground,512,32,0.0,0.0,20.0,0.0
51,Ground,512,64,0.0,0.0,20.0,0.0
52,Ground,512,128,0.0,0.0,20.0,0.0
53,Ground,512,256,0.0,0.0,20.0,0.0
54,Ground,512,512,0.0,0.0,20.0,0.0
55,Ground,512,1024,0.0,0.0,20.0,0.0
56,Abstract,8,8,0.0,0.0,20.0,0.0
57,Abstract,8,16,0.0,0.0,20.0,0.0
58,Abstract,8,32,0.0,0.0,20.0,0.0
59,Abstract,8,64,0.0,0.0,20.0,0.0
60,Abstract,8,128,0.0,0.0,20.0,0.0
61,Abstract,8,256,0.0,0.0,20.0,0.0
62,Abstract,8,512,0.0,0.0,20.0,0.0
63,Abstract,8,1024,0.0,0.0,20.0,0.0
64,Abstract,16,8,0.0,0.0,20.0,0.0
65,Abstract,16,16,0.0,0.0,20.0,0.0
66,Abstract,16,32,0.0,0.0,20.0,0.0
67,Abstract,16,64,0.0,0.0,20.0,0.0
68,Abstract,16,128,0.0,0.0,20.0,0.0
69,Abstract,16,256,0.0,0.0,20.0,0.0
70,Abstract,16,512,0.0,0.0,20.0,0.0
71,Abstract,16,1024,0.0,0.0,20.0,0.0
72,Abstract,32,8,0.0,0.0,20.0,0.0
